Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Fail#,Alarm#,Time,TS Time
"Device_Power_Up","vdd_core",721101,"Parametric","",0.08,0.12,"V",0.0471295,0.0998987,0.0990769,0.00649282,0.979383,0.979383,1.07417,1,0,0.976281,***
"supply_short","supply_short_vcs_pll",211002,"Parametric","",-1,1,"mA",0.0130919,0.0289021,0.0202185,0.00450498,72.4961,75.4881,72.4961,0,0,0.184581,***
"supply_short","supply_short_vcs_pm_1",211003,"Parametric","",-1,1,"mA",0.013171,0.0289787,0.0217934,0.00421147,77.4241,80.8739,77.4241,0,0,0.184581,***
"supply_short","supply_short_vcs_pm_2",211004,"Parametric","",-1,1,"mA",0.0150517,0.034816,0.0246344,0.00495464,65.6197,68.9343,65.6197,0,0,0.184581,***
"supply_short","supply_short_vcsio_pll",211007,"Parametric","",-1,1,"mA",-0.00357717,0.0122296,0.00312873,0.00324903,102.274,102.916,102.274,0,0,0.184581,***
"supply_short","supply_short_vcsio_ts",211008,"Parametric","",-1,1,"mA",-0.000361633,0.0193974,0.00891912,0.00467545,70.6585,71.9303,70.6585,0,0,0.184581,***
"supply_short","supply_short_vcsio_vs_1",211009,"Parametric","",-1,1,"mA",-0.00259207,0.0132195,0.00693082,0.0043841,75.5054,76.5593,75.5054,0,0,0.184581,***
"supply_short","supply_short_vcsio_vs_2",211010,"Parametric","",-1,1,"mA",-0.00412866,0.0116836,0.00515507,0.00356906,92.9139,93.8768,92.9139,0,0,0.184581,***
"supply_short","supply_short_vdd_io_clk",211005,"Parametric","",-1,1,"mA",0.0059932,0.021806,0.0151575,0.0038708,84.8096,87.4202,84.8096,0,0,0.184581,***
"supply_short","supply_short_vdd_pll",211006,"Parametric","",-1,1,"mA",0.00418296,0.0318451,0.0169961,0.00532715,61.5091,63.6361,61.5091,0,0,0.184581,***
"supply_short","supply_short_vddio_io_clk",211011,"Parametric","",-1,1,"mA",-0.00330466,0.0125047,0.00621689,0.00415841,79.6605,80.6572,79.6605,0,0,0.184581,***
"supply_short","supply_short_vddio_pll",211012,"Parametric","",-1,1,"mA",-0.0100557,0.00573914,-0.00120102,0.00404241,82.36,82.36,82.5581,0,0,0.184581,***
"supply_short","supply_short_vddio_rx",211013,"Parametric","",-1,1,"mA",0.0593625,0.126467,0.092795,0.0168215,17.977,21.6547,17.977,0,0,0.184581,***
"supply_short","supply_short_vddio_tx",211014,"Parametric","",-1,1,"mA",0.0276261,0.146091,0.0994228,0.0309066,9.71289,11.8575,9.71289,0,0,0.184581,***
"supply_short","supply_short_vdd_core",211001,"Parametric","",-0.1,1200,"mA",486.314,1399.97,679.719,121.525,1.42709,1.86469,1.42709,1,0,0.184581,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_0",110001,"Parametric","",0.5,0.9,"V",0.751663,0.753483,0.752184,0.000345203,142.734,243.513,142.734,0,0,0.197537,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_30",110002,"Parametric","",0.5,0.9,"V",0.751693,0.753513,0.752167,0.000342457,143.894,245.449,143.894,0,0,0.197537,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_13",110003,"Parametric","",0.5,0.9,"V",0.751154,0.753033,0.751739,0.000363703,135.881,230.718,135.881,0,0,0.197537,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_5",110004,"Parametric","",0.5,0.9,"V",0.751462,0.753624,0.752035,0.000388017,127.112,216.516,127.112,0,0,0.197537,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_1",110005,"Parametric","",0.5,0.9,"V",0.751562,0.753496,0.752125,0.000354906,138.887,236.799,138.887,0,0,0.197537,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_9",110006,"Parametric","",0.5,0.9,"V",0.751346,0.753452,0.751896,0.000394987,124.986,212.577,124.986,0,0,0.197537,***
