Device,Device ID,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"W3,1",1,1,0,"1580",5,46116,""
2,"W4,1",1,1,0,"1580",5,24342,""
3,"W5,1",1,1,1,"4",4,116253,""
4,"W6,1",1,1,0,"1412",5,28841,""
5,"W7,1",1,1,0,"1411",5,23198,""
6,"W8,1",1,1,0,"1580",5,24345,""
7,"W9,2",1,1,0,"1131",7,4018,""
8,"W8,2",1,1,1,"2",2,133320,""
9,"W7,2",1,1,1,"4",4,90852,""
10,"W6,2",1,1,0,"1493",5,15026,""
11,"W5,2",1,1,0,"1580",5,24285,""
12,"W4,2",1,1,0,"1580",5,24341,""
13,"W3,2",1,1,0,"1580",5,24293,""
14,"W2,2",1,1,0,"1412",5,32422,""
15,"W1,3",1,1,0,"1411",5,23194,""
16,"W2,3",1,1,0,"1411",5,19573,""
17,"W3,3",1,1,0,"1411",5,23219,""
18,"W4,3",1,1,0,"1151",8,119720,""
19,"W5,3",1,1,1,"4",4,76518,""
20,"W6,3",1,1,0,"1411",5,19600,""
21,"W7,3",1,1,0,"1580",5,24305,""
22,"W8,3",1,1,0,"1408",5,11179,""
23,"W9,3",1,1,0,"1414",5,16252,""
24,"W10,3",1,1,0,"1131",7,4112,""
25,"W10,4",1,1,1,"4",4,86593,""
26,"W9,4",1,1,0,"1580",5,24291,""
27,"W8,4",1,1,0,"1412",5,32412,""
28,"W7,4",1,1,0,"1580",5,24299,""
29,"W6,4",1,1,0,"1580",5,24269,""
30,"W5,4",1,1,1,"4",4,93781,""
31,"W4,4",1,1,0,"1580",5,24265,""
32,"W3,4",1,1,0,"1580",5,24299,""
33,"W2,4",1,1,0,"1412",5,32388,""
34,"W1,4",1,1,0,"1434",5,19327,""
35,"W1,5",1,1,1,"3",3,133636,""
36,"W2,5",1,1,0,"1580",5,24441,""
37,"W3,5",1,1,0,"1411",5,19642,""
38,"W4,5",1,1,1,"2",2,106926,""
39,"W5,5",1,1,0,"1580",5,24374,""
40,"W6,5",1,1,0,"1580",5,24357,""
41,"W7,5",1,1,0,"1580",5,24418,""
42,"W8,5",1,1,0,"1580",5,24363,""
43,"W9,5",1,1,0,"1580",5,24333,""
44,"W10,5",1,1,0,"1111",6,1456,""
45,"W10,5",1,1,0,"1111",6,1420,""
46,"W10,6",1,1,0,"1580",5,24363,""
47,"W9,6",1,1,1,"2",2,126428,""
48,"W8,6",1,1,0,"1131",7,4039,""
49,"W7,6",1,1,0,"1412",5,28824,""
50,"W6,6",1,1,0,"1412",5,28834,""
51,"W5,6",1,1,0,"1580",5,24365,""
52,"W4,6",1,1,0,"1580",5,24333,""
53,"W3,6",1,1,1,"2",2,114474,""
54,"W2,6",1,1,0,"1580",5,24366,""
55,"W1,6",1,1,0,"1580",5,24331,""
56,"W2,7",1,1,0,"1580",5,24337,""
57,"W3,7",1,1,0,"1580",5,24346,""
58,"W4,7",1,1,0,"1580",5,24370,""
59,"W5,7",1,1,0,"1162",8,33832,""
60,"W6,7",1,1,1,"3",3,126943,""
61,"W7,7",1,1,0,"1580",5,24382,""
62,"W8,7",1,1,0,"1580",5,24357,""
63,"W9,7",1,1,0,"1580",5,24475,""
64,"W7,8",1,1,0,"1580",5,24327,""
65,"W6,8",1,1,0,"1580",5,24352,""
66,"W5,8",1,1,0,"1580",5,24377,""
67,"W4,8",1,1,0,"1580",5,24358,""
