Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Fail#,Alarm#,Time,TS Time
"Device_Power_Up","vdd_core",721101,"Parametric","",0.08,0.12,"V",0.0147317,0.0220949,0.0177557,0.00172545,-12.0248,-12.0248,19.7522,67,0,0.985843,***
"supply_short_HT","supply_short_HT_vcs_pll",221102,"Parametric","",-1,1,"mA",0.119811,0.187004,0.149366,0.0195503,14.5033,19.5967,14.5033,0,0,0.18443,***
"supply_short_HT","supply_short_HT_vcs_pm_1",221103,"Parametric","",-1,1,"mA",0.139633,0.230527,0.192777,0.019739,13.6316,20.1424,13.6316,0,0,0.18443,***
"supply_short_HT","supply_short_HT_vcs_pm_2",221104,"Parametric","",-1,1,"mA",0.153402,0.236412,0.194641,0.0214775,12.4993,18.541,12.4993,0,0,0.18443,***
"supply_short_HT","supply_short_HT_vcsio_pll",221107,"Parametric","",-1,1,"mA",0.0161813,0.0438431,0.0304546,0.00622751,51.8958,55.156,51.8958,0,0,0.18443,***
"supply_short_HT","supply_short_HT_vcsio_ts",221108,"Parametric","",-1,1,"mA",0.0233492,0.0510118,0.0365022,0.00585291,54.8729,59.0306,54.8729,0,0,0.18443,***
"supply_short_HT","supply_short_HT_vcsio_vs_1",221109,"Parametric","",-1,1,"mA",0.0211253,0.0527485,0.0354029,0.00684507,46.9728,50.4209,46.9728,0,0,0.18443,***
"supply_short_HT","supply_short_HT_vcsio_vs_2",221110,"Parametric","",-1,1,"mA",0.0195898,0.0512143,0.034045,0.00686599,46.8957,50.2013,46.8957,0,0,0.18443,***
"supply_short_HT","supply_short_HT_vdd_io_clk",221105,"Parametric","",-1,1,"mA",0.0890106,0.140402,0.112258,0.0139771,21.1714,26.5258,21.1714,0,0,0.18443,***
"supply_short_HT","supply_short_HT_vdd_pll",221106,"Parametric","",-1,1,"mA",0.0792659,0.146445,0.113416,0.0147331,20.0587,25.1907,20.0587,0,0,0.18443,***
"supply_short_HT","supply_short_HT_vddio_io_clk",221111,"Parametric","",-1,1,"mA",0.00460003,0.0283141,0.01687,0.00472353,69.3782,71.7592,69.3782,0,0,0.18443,***
"supply_short_HT","supply_short_HT_vddio_pll",221112,"Parametric","",-1,1,"mA",0.00179043,0.021534,0.0109845,0.00431401,76.4189,78.1164,76.4189,0,0,0.18443,***
"supply_short_HT","supply_short_HT_vddio_rx",221113,"Parametric","",-1,2,"mA",0.773825,1.56723,1.18853,0.200618,1.34829,3.63631,1.34829,0,0,0.18443,***
"supply_short_HT","supply_short_HT_vddio_tx",221114,"Parametric","",-1,2,"mA",0.777902,1.48869,1.09616,0.183664,1.64038,3.80436,1.64038,0,0,0.18443,***
"supply_short_HT","supply_short_HT_vdd_core",221101,"Parametric","",-1,7500,"mA",3587.61,5581.92,4579.33,483.363,2.01413,3.15866,2.01413,0,0,0.18443,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_0",110001,"Parametric","",0.5,0.9,"V",0.662727,0.669835,0.664891,0.00155917,35.2519,35.2519,50.2636,0,0,0.234219,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_30",110002,"Parametric","",0.5,0.9,"V",0.662706,0.669875,0.664837,0.001575,34.886,34.886,49.7699,0,0,0.234219,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_13",110003,"Parametric","",0.5,0.9,"V",0.662268,0.669613,0.66445,0.00150803,36.3498,36.3498,52.0655,0,0,0.234219,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_5",110004,"Parametric","",0.5,0.9,"V",0.662619,0.669392,0.664485,0.00141295,38.8043,38.8043,55.5611,0,0,0.234219,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_1",110005,"Parametric","",0.5,0.9,"V",0.662349,0.669348,0.664507,0.0015485,35.4121,35.4121,50.6925,0,0,0.234219,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_9",110006,"Parametric","",0.5,0.9,"V",0.662162,0.668878,0.664096,0.0014244,38.4012,38.4012,55.2053,0,0,0.234219,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_4",110007,"Parametric","",0.2,0.4,"V",0.221395,0.24754,0.232498,0.00653265,1.65823,1.65823,8.54691,0,0,0.234219,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_8",110008,"Parametric","",0.5,0.9,"V",0.662604,0.66949,0.66454,0.00145121,37.7937,37.7937,54.0835,0,0,0.234219,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_4",110009,"Parametric","",0.5,0.9,"V",0.662261,0.669261,0.664213,0.00143603,38.1175,38.1175,54.7314,0,0,0.234219,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_30",110010,"Parametric","",0.2,0.4,"V",0.222903,0.246989,0.232375,0.00627848,1.71882,1.71882,8.89945,0,0,0.234219,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_26",110011,"Parametric","",0.2,0.4,"V",0.221845,0.246452,0.23233,0.00645307,1.67002,1.67002,8.66098,0,0,0.234219,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_18",110012,"Parametric","",0.5,0.9,"V",0.662391,0.669446,0.664512,0.00149194,36.7557,36.7557,52.6131,0,0,0.234219,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_8",110013,"Parametric","",0.5,0.9,"V",0.662164,0.668823,0.66411,0.00141098,38.7697,38.7697,55.7273,0,0,0.234219,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_4",110014,"Parametric","",0.5,0.9,"V",0.662345,0.66929,0.664287,0.00143016,38.2912,38.2912,54.9387,0,0,0.234219,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_21",110015,"Parametric","",0.2,0.4,"V",0.221979,0.2475,0.232223,0.00658116,1.63208,1.63208,8.49785,0,0,0.234219,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_1",110016,"Parametric","",0.5,0.9,"V",0.662068,0.668273,0.663815,0.00132228,41.2962,41.2962,59.5399,0,0,0.234219,***
"Continuity_Direct_Pos","cont_row_even_col_even_tap_tck_pad_i",110017,"Parametric","",0.5,0.9,"V",0.661913,0.667946,0.663686,0.00130057,41.9524,41.9524,60.5669,0,0,0.234219,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_size_1",110018,"Parametric","",0.2,0.4,"V",0.222508,0.248339,0.23213,0.00662643,1.61628,1.61628,8.44445,0,0,0.234219,***
"Continuity_Direct_Pos","cont_row_even_col_even_tap_tdi_pad_i",110019,"Parametric","",0.5,0.9,"V",0.661635,0.667668,0.66342,0.00129325,42.1215,42.1215,60.9782,0,0,0.234219,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_2",110020,"Parametric","",0.2,0.4,"V",0.222515,0.247569,0.232415,0.00674388,1.6022,1.6022,8.28331,0,0,0.234219,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_addr_valid",110021,"Parametric","",0.2,0.4,"V",0.22053,0.247187,0.231692,0.00650376,1.62427,1.62427,8.62621,0,0,0.234219,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_7",110022,"Parametric","",0.2,0.4,"V",0.22268,0.247735,0.232666,0.00650037,1.67506,1.67506,8.58076,0,0,0.234219,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_2",110023,"Parametric","",0.5,0.9,"V",0.662427,0.669261,0.6643,0.00140266,39.0448,39.0448,56.0128,0,0,0.234219,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_15",110024,"Parametric","",0.5,0.9,"V",0.662319,0.669547,0.664546,0.00148535,36.9263,36.9263,52.8391,0,0,0.234219,***
