Device,Device ID,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"W3,1",1,1,0,"1113",6,2994,""
2,"W3,1",1,1,0,"1580",5,46543,""
3,"W4,1",1,1,1,"4",4,103025,""
4,"W5,1",1,1,1,"4",4,82161,""
5,"W6,1",1,1,0,"1412",5,28371,""
6,"W7,1",1,1,0,"1411",5,24864,""
7,"W8,1",1,1,0,"1580",5,23871,""
8,"W9,2",1,1,0,"1131",7,4060,""
9,"W8,2",1,1,1,"2",2,129538,""
10,"W7,2",1,1,1,"4",4,84111,""
11,"W6,2",1,1,0,"1493",5,14563,""
12,"W5,2",1,1,0,"1580",5,23868,""
13,"W4,2",1,1,0,"1580",5,23817,""
14,"W3,2",1,1,0,"1580",5,23808,""
15,"W2,2",1,1,0,"1412",5,31493,""
16,"W1,3",1,1,0,"1411",5,22261,""
17,"W2,3",1,1,0,"1411",5,19118,""
18,"W3,3",1,1,0,"1411",5,22246,""
19,"W4,3",1,1,1,"2",2,113269,""
20,"W5,3",1,1,0,"1113",6,2562,""
21,"W5,3",1,1,0,"1113",6,2556,""
22,"W6,3",1,1,0,"1411",5,19089,""
23,"W7,3",1,1,0,"1580",5,23832,""
24,"W8,3",1,1,0,"1408",5,10704,""
25,"W9,3",1,1,0,"1414",5,15764,""
26,"W10,3",1,1,0,"1131",7,4102,""
27,"W10,4",1,1,1,"4",4,85356,""
28,"W9,4",1,1,0,"1580",5,23807,""
29,"W8,4",1,1,0,"1412",5,28347,""
30,"W7,4",1,1,0,"1580",5,23827,""
31,"W6,4",1,1,0,"1580",5,23836,""
32,"W5,4",1,1,1,"4",4,105579,""
33,"W4,4",1,1,0,"1580",5,23814,""
34,"W3,4",1,1,0,"1580",5,23895,""
35,"W2,4",1,1,0,"1412",5,31546,""
36,"W1,4",1,1,0,"1434",5,18360,""
37,"W1,5",1,1,1,"2",2,117476,""
38,"W2,5",1,1,0,"1580",5,23865,""
39,"W3,5",1,1,0,"1411",5,19112,""
40,"W4,5",1,1,1,"2",2,109429,""
41,"W5,5",1,1,0,"1580",5,23851,""
42,"W6,5",1,1,0,"1111",6,1435,""
43,"W6,5",1,1,0,"1111",6,1439,""
44,"W7,5",1,1,0,"1111",6,1438,""
45,"W7,5",1,1,0,"1111",6,1427,""
46,"W8,5",1,1,0,"1580",5,23831,""
47,"W9,5",1,1,0,"1580",5,23839,""
48,"W10,5",1,1,1,"2",2,114047,""
49,"W10,6",1,1,1,"3",3,135510,""
50,"W9,6",1,1,1,"2",2,111883,""
51,"W8,6",1,1,0,"1001",7,1200,""
52,"W7,6",1,1,0,"1412",5,28328,""
53,"W6,6",1,1,0,"1412",5,28318,""
54,"W5,6",1,1,0,"1580",5,23822,""
55,"W4,6",1,1,0,"1580",5,23871,""
56,"W3,6",1,1,1,"2",2,119122,""
57,"W2,6",1,1,0,"1580",5,23858,""
58,"W1,6",1,1,0,"1580",5,23822,""
59,"W2,7",1,1,0,"1412",5,39945,""
60,"W3,7",1,1,0,"1580",5,23831,""
61,"W4,7",1,1,0,"1580",5,23809,""
62,"W5,7",1,1,0,"1162",8,22254,""
63,"W6,7",1,1,1,"2",2,106753,""
64,"W7,7",1,1,0,"1580",5,23824,""
65,"W8,7",1,1,0,"1580",5,23818,""
66,"W9,7",1,1,0,"1580",5,23815,""
67,"W7,8",1,1,1,"4",4,88894,""
68,"W6,8",1,1,1,"4",4,79151,""
69,"W5,8",1,1,0,"1580",5,24018,""
70,"W4,8",1,1,0,"1412",5,37345,""
