SW Bin,Desc,Site,Site%,Device#,Bin%,Good Bin,Reprobe Bin
"1113","Continuity_Mux_Pos",1,4.3,3,4.3,1,0
"1580","PMBIST_Post_repair_Func_fail",1,35.7,25,35.7,1,0
"4","TOP ONLY",1,10,7,10,1,0
"1412","TOP_SAF4_CORE_ROW_0_7_LOGIC_Fail",1,11.4,8,11.4,1,0
"1411","TOP_SAF4_CORE_ROW_0_7_SCAN_Fail",1,8.6,6,8.6,1,0
"1131","IDD_static_fail",1,2.9,2,2.9,1,0
"2","Medium",1,11.4,8,11.4,1,0
"1493","TOP_SAF4_COL_ROW_SCAN_Fail",1,1.4,1,1.4,1,0
"1408","PMBIST_BWE_Func_fail",1,1.4,1,1.4,1,0
"1414","TOP_SAF4_EXTEST_SCAN_1_Fail",1,1.4,1,1.4,1,0
"1434","TOP_SAF4_COL_ROW_LOGIC_Fail",1,1.4,1,1.4,1,0
"1111","Continuity_DIr_Pos",1,5.7,4,5.7,1,0
"3","Slow",1,1.4,1,1.4,1,0
"1001","supply_short_fail",1,1.4,1,1.4,1,0
"1162","Efuse_Pre_fail",1,1.4,1,1.4,1,0
