Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Fail#,Alarm#,Time,TS Time
"Device_Power_Up","vdd_core",721101,"Parametric","",0.08,0.12,"V",0.0477431,0.0998987,0.0991063,0.00622833,1.02255,1.02255,1.11821,1,0,0.970864,***
"supply_short","supply_short_vcs_pll",211002,"Parametric","",-1,1,"mA",0.0130919,0.0328546,0.0229168,0.00464967,70.0468,73.3326,70.0468,0,0,0.186596,***
"supply_short","supply_short_vcs_pm_1",211003,"Parametric","",-1,1,"mA",0.017123,0.0289787,0.0229379,0.00444883,73.2074,76.6447,73.2074,0,0,0.186596,***
"supply_short","supply_short_vcs_pm_2",211004,"Parametric","",-1,1,"mA",0.00714599,0.0308631,0.0222798,0.00503483,64.7305,67.6806,64.7305,0,0,0.186596,***
"supply_short","supply_short_vcsio_pll",211007,"Parametric","",-1,1,"mA",-0.00357717,0.0122296,0.00438267,0.00352763,94.0779,94.9062,94.0779,0,0,0.186596,***
"supply_short","supply_short_vcsio_ts",211008,"Parametric","",-1,1,"mA",0.00359017,0.0193974,0.00917915,0.00389369,84.8227,86.3943,84.8227,0,0,0.186596,***
"supply_short","supply_short_vcsio_vs_1",211009,"Parametric","",-1,1,"mA",-0.00259207,0.0171724,0.00875839,0.00425215,77.705,79.0782,77.705,0,0,0.186596,***
"supply_short","supply_short_vcsio_vs_2",211010,"Parametric","",-1,1,"mA",-0.00412866,0.0156367,0.00693994,0.00412685,80.2113,81.3324,80.2113,0,0,0.186596,***
"supply_short","supply_short_vdd_io_clk",211005,"Parametric","",-1,1,"mA",0.00994641,0.0336657,0.0173446,0.00435771,75.1661,77.8195,75.1661,0,0,0.186596,***
"supply_short","supply_short_vdd_pll",211006,"Parametric","",-1,1,"mA",0.00418296,0.0239416,0.015643,0.00436794,75.1198,77.5074,75.1198,0,0,0.186596,***
"supply_short","supply_short_vddio_io_clk",211011,"Parametric","",-1,1,"mA",0.00064768,0.0125047,0.00759252,0.00345972,95.6154,97.0784,95.6154,0,0,0.186596,***
"supply_short","supply_short_vddio_pll",211012,"Parametric","",-1,1,"mA",-0.006107,0.00968786,0.000436584,0.00379616,87.7697,87.8464,87.7697,0,0,0.186596,***
"supply_short","supply_short_vddio_rx",211013,"Parametric","",-1,1,"mA",0.0593625,0.130414,0.0951702,0.0155779,19.3614,23.4343,19.3614,0,0,0.186596,***
"supply_short","supply_short_vddio_tx",211014,"Parametric","",-1,1,"mA",0.0276261,0.146091,0.0981407,0.0276318,10.8795,13.2473,10.8795,0,0,0.186596,***
"supply_short","supply_short_vdd_core",211001,"Parametric","",-0.1,1200,"mA",487.043,1399.55,681.965,119.458,1.44552,1.90322,1.44552,1,0,0.186596,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_0",110001,"Parametric","",0.5,0.9,"V",0.75172,0.753426,0.752245,0.000344097,143.133,244.355,143.133,0,0,0.236363,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_30",110002,"Parametric","",0.5,0.9,"V",0.75175,0.753457,0.752256,0.000347631,141.667,241.881,141.667,0,0,0.236363,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_13",110003,"Parametric","",0.5,0.9,"V",0.751267,0.752805,0.751791,0.000339616,145.467,247.133,145.467,0,0,0.236363,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_5",110004,"Parametric","",0.5,0.9,"V",0.751462,0.753454,0.752075,0.000358655,137.481,234.278,137.481,0,0,0.236363,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_1",110005,"Parametric","",0.5,0.9,"V",0.751676,0.753383,0.752184,0.000348362,141.439,241.304,141.439,0,0,0.236363,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_9",110006,"Parametric","",0.5,0.9,"V",0.751403,0.753224,0.751928,0.000362003,136.346,231.976,136.346,0,0,0.236363,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_4",110007,"Parametric","",0.2,0.4,"V",0.263888,0.289863,0.274795,0.00632487,3.94182,3.94182,6.59858,0,0,0.236363,***
