Device,Device ID,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"W3,1",1,1,0,"1113",6,5800,""
2,"W3,1",1,1,0,"1113",6,2533,""
3,"W4,1",1,1,0,"1113",6,2559,""
4,"W4,1",1,1,0,"1113",6,2537,""
5,"W5,1",1,1,0,"1113",6,2526,""
6,"W5,1",1,1,0,"1113",6,2523,""
7,"W6,1",1,1,0,"1412",5,107155,""
8,"W7,1",1,1,0,"1580",5,34845,""
9,"W8,1",1,1,0,"1580",5,23802,""
10,"W9,2",1,1,0,"1580",5,23787,""
11,"W8,2",1,1,0,"1580",5,23789,""
12,"W7,2",1,1,0,"1580",5,23801,""
13,"W6,2",1,1,0,"1580",5,23775,""
14,"W5,2",1,1,1,"2",2,144612,""
15,"W4,2",1,1,0,"1580",5,23845,""
16,"W3,2",1,1,0,"1131",7,4055,""
17,"W2,2",1,1,0,"1113",6,2545,""
18,"W2,2",1,1,0,"1113",6,2546,""
19,"W1,3",1,1,0,"1131",7,4032,""
20,"W2,3",1,1,0,"1001",7,1193,""
21,"W3,3",1,1,0,"1131",7,4026,""
22,"W4,3",1,1,0,"1580",5,23816,""
23,"W5,3",1,1,0,"1580",5,23784,""
24,"W6,3",1,1,0,"1580",5,23797,""
25,"W7,3",1,1,0,"1580",5,23809,""
26,"W8,3",1,1,0,"1580",5,23817,""
27,"W9,3",1,1,0,"1580",5,23797,""
28,"W10,3",1,1,0,"1113",6,2568,""
29,"W10,3",1,1,0,"1113",6,2539,""
30,"W10,4",1,1,0,"1580",5,23785,""
31,"W9,4",1,1,0,"1580",5,23822,""
32,"W8,4",1,1,0,"1580",5,23787,""
33,"W7,4",1,1,0,"1580",5,69580,""
34,"W6,4",1,1,0,"1580",5,24262,""
35,"W5,4",1,1,0,"1412",5,28761,""
36,"W4,4",1,1,0,"1580",5,24267,""
37,"W3,4",1,1,0,"1580",5,24243,""
38,"W2,4",1,1,0,"1580",5,24292,""
39,"W1,4",1,1,0,"1113",6,2561,""
40,"W1,4",1,1,0,"1113",6,2537,""
41,"W1,5",1,1,0,"1580",5,25172,""
42,"W2,5",1,1,0,"1580",5,24274,""
43,"W3,5",1,1,0,"1580",5,24278,""
44,"W4,5",1,1,0,"1580",5,24237,""
45,"W5,5",1,1,0,"1411",5,23287,""
46,"W6,5",1,1,0,"1580",5,24266,""
47,"W7,5",1,1,0,"1580",5,24251,""
48,"W8,5",1,1,0,"1580",5,25236,""
49,"W9,5",1,1,0,"1580",5,24250,""
50,"W10,5",1,1,0,"1580",5,24252,""
51,"W10,6",1,1,0,"1580",5,25210,""
52,"W9,6",1,1,0,"1113",6,2539,""
53,"W9,6",1,1,0,"1113",6,2539,""
54,"W8,6",1,1,0,"1580",5,24281,""
55,"W7,6",1,1,0,"1580",5,24320,""
56,"W6,6",1,1,0,"1111",6,1426,""
57,"W6,6",1,1,0,"1111",6,1428,""
58,"W5,6",1,1,0,"1580",5,24277,""
59,"W4,6",1,1,0,"1580",5,24301,""
60,"W3,6",1,1,0,"1580",5,24316,""
61,"W2,6",1,1,0,"1131",7,4020,""
62,"W1,6",1,1,0,"1580",5,24345,""
63,"W2,7",1,1,0,"1001",7,1190,""
64,"W3,7",1,1,0,"1131",7,4037,""
65,"W4,7",1,1,0,"1580",5,24288,""
66,"W5,7",1,1,0,"1131",7,4038,""
67,"W6,7",1,1,0,"1580",5,24275,""
68,"W7,7",1,1,0,"1131",7,4027,""
69,"W8,7",1,1,0,"1580",5,24323,""
70,"W9,7",1,1,0,"1113",6,2554,""
71,"W9,7",1,1,0,"1113",6,2541,""
72,"W7,8",1,1,0,"1580",5,25249,""
73,"W6,8",1,1,0,"1111",6,1451,""
74,"W6,8",1,1,0,"1111",6,1428,""
75,"W5,8",1,1,0,"1111",6,1441,""
76,"W5,8",1,1,0,"1111",6,1421,""
77,"W4,8",1,1,0,"1131",7,4026,""
