Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Fail#,Alarm#,Time,TS Time
"Device_Power_Up","vdd_core",721101,"Parametric","",0.08,0.12,"V",0.099776,0.0998987,0.0998318,6.15059e-05,107.479,107.479,109.302,0,0,1.00703,***
"supply_short","supply_short_vcs_pll",211002,"Parametric","",-1,1,"mA",0.00518679,0.119811,0.0203297,0.0122566,26.6433,27.749,26.6433,0,0,0.184873,***
"supply_short","supply_short_vcs_pm_1",211003,"Parametric","",-1,1,"mA",0.00921911,0.0289787,0.0200484,0.00446016,73.2373,76.234,73.2373,0,0,0.184873,***
"supply_short","supply_short_vcs_pm_2",211004,"Parametric","",-1,1,"mA",0.00714599,0.145496,0.0206473,0.0151385,21.5643,22.4735,21.5643,0,0,0.184873,***
"supply_short","supply_short_vcsio_pll",211007,"Parametric","",-1,1,"mA",-0.00752886,0.0122296,0.0032998,0.00381425,87.1033,87.68,87.1033,0,0,0.184873,***
"supply_short","supply_short_vcsio_ts",211008,"Parametric","",-1,1,"mA",-0.000361633,0.0193974,0.00887635,0.00382553,86.3604,87.9073,86.3604,0,0,0.184873,***
"supply_short","supply_short_vcsio_vs_1",211009,"Parametric","",-1,1,"mA",0.00136082,0.0211253,0.00926662,0.00405559,81.4295,82.9528,81.4295,0,0,0.184873,***
"supply_short","supply_short_vcsio_vs_2",211010,"Parametric","",-1,1,"mA",-0.00412866,0.0156367,0.00670378,0.00412626,80.2419,81.325,80.2419,0,0,0.184873,***
"supply_short","supply_short_vdd_io_clk",211005,"Parametric","",-1,1,"mA",0.0059932,0.0257592,0.0150804,0.00415928,78.9335,81.3507,78.9335,0,0,0.184873,***
"supply_short","supply_short_vdd_pll",211006,"Parametric","",-1,1,"mA",0.00418296,0.0239416,0.0132668,0.00458097,71.7995,73.7302,71.7995,0,0,0.184873,***
"supply_short","supply_short_vddio_io_clk",211011,"Parametric","",-1,1,"mA",-0.00330466,0.0204094,0.00726914,0.00412744,80.1732,81.3473,80.1732,0,0,0.184873,***
"supply_short","supply_short_vddio_pll",211012,"Parametric","",-1,1,"mA",-0.006107,0.00968786,0.000816071,0.0039568,84.1743,84.3118,84.1743,0,0,0.184873,***
"supply_short","supply_short_vddio_rx",211013,"Parametric","",-1,1,"mA",0.0514679,5.09218,0.195621,0.57984,0.462414,0.687328,0.462414,1,0,0.184873,***
"supply_short","supply_short_vddio_tx",211014,"Parametric","",-1,1,"mA",0.0276261,1.1333,0.130193,0.1523,1.90372,2.47361,1.90372,1,0,0.184873,***
"supply_short","supply_short_vdd_core",211001,"Parametric","",-0.1,1200,"mA",370.922,632.575,524.113,60.056,2.90958,2.90958,3.75143,0,0,0.184873,***
