Device,Device ID,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"W3,1",1,1,0,"1113",6,3001,""
2,"W3,1",1,1,0,"1411",5,75480,""
3,"W4,1",1,1,0,"1580",5,25976,""
4,"W5,1",1,1,0,"1580",5,24324,""
5,"W6,1",1,1,1,"4",4,101421,""
6,"W7,1",1,1,1,"2",2,119710,""
7,"W8,1",1,1,0,"1113",6,2557,""
8,"W8,1",1,1,0,"1113",6,2541,""
9,"W9,2",1,1,0,"1113",6,2553,""
10,"W9,2",1,1,0,"1113",6,2545,""
11,"W8,2",1,1,0,"1113",6,2560,""
12,"W8,2",1,1,0,"1113",6,2538,""
13,"W7,2",1,1,0,"1113",6,2559,""
14,"W7,2",1,1,0,"1113",6,2540,""
15,"W6,2",1,1,0,"1113",6,2549,""
16,"W6,2",1,1,0,"1113",6,2550,""
17,"W5,2",1,1,1,"4",4,87009,""
18,"W4,2",1,1,0,"1580",5,24458,""
19,"W3,2",1,1,1,"2",2,117558,""
20,"W2,2",1,1,1,"2",2,107876,""
21,"W1,3",1,1,0,"1412",5,32593,""
22,"W2,3",1,1,0,"1580",5,24297,""
23,"W3,3",1,1,1,"2",2,110100,""
24,"W4,3",1,1,0,"1411",5,23290,""
25,"W5,3",1,1,0,"1580",5,24359,""
26,"W6,3",1,1,0,"1412",5,28799,""
27,"W7,3",1,1,0,"1414",5,16229,""
28,"W8,3",1,1,0,"1580",5,25358,""
29,"W9,3",1,1,1,"2",2,111001,""
30,"W10,3",1,1,0,"1580",5,24372,""
31,"W10,4",1,1,0,"1416",5,23840,""
32,"W9,4",1,1,1,"2",2,111988,""
33,"W8,4",1,1,1,"4",4,81114,""
34,"W7,4",1,1,0,"1411",5,23348,""
35,"W6,4",1,1,0,"1580",5,24319,""
36,"W5,4",1,1,0,"1411",5,19586,""
37,"W4,4",1,1,0,"1580",5,24281,""
38,"W3,4",1,1,0,"1580",5,24319,""
39,"W2,4",1,1,1,"2",2,111967,""
40,"W1,4",1,1,0,"1580",5,24364,""
41,"W1,5",1,1,0,"1580",5,24351,""
42,"W2,5",1,1,0,"1580",5,24303,""
43,"W3,5",1,1,0,"1416",5,22783,""
44,"W4,5",1,1,0,"1580",5,24290,""
45,"W5,5",1,1,0,"1580",5,24318,""
46,"W6,5",1,1,1,"2",2,127483,""
47,"W7,5",1,1,1,"2",2,124332,""
48,"W8,5",1,1,0,"1580",5,24347,""
49,"W9,5",1,1,0,"1411",5,23297,""
50,"W10,5",1,1,0,"1408",5,14928,""
51,"W10,6",1,1,0,"1412",5,35159,""
52,"W9,6",1,1,1,"4",4,94173,""
53,"W8,6",1,1,0,"1412",5,32523,""
54,"W7,6",1,1,1,"2",2,107871,""
55,"W6,6",1,1,0,"1411",5,19656,""
56,"W5,6",1,1,0,"1580",5,24357,""
57,"W4,6",1,1,1,"2",2,107454,""
58,"W3,6",1,1,1,"4",4,80517,""
59,"W2,6",1,1,0,"1412",5,28815,""
60,"W1,6",1,1,0,"1580",5,24346,""
61,"W2,7",1,1,0,"1580",5,24320,""
62,"W3,7",1,1,0,"1580",5,24317,""
63,"W4,7",1,1,0,"1412",5,28862,""
64,"W5,7",1,1,0,"1580",5,24357,""
65,"W6,7",1,1,0,"1580",5,24351,""
66,"W7,7",1,1,0,"1416",5,22831,""
67,"W8,7",1,1,0,"1580",5,24300,""
68,"W9,7",1,1,0,"1580",5,24377,""
69,"W7,8",1,1,1,"2",2,122317,""
70,"W6,8",1,1,1,"2",2,116091,""
71,"W5,8",1,1,0,"1580",5,24298,""
72,"W4,8",1,1,0,"1580",5,24278,""
