Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Fail#,Alarm#,Time,TS Time
"Device_Power_Up","vdd_core",721101,"Parametric","",0.08,0.12,"V",0.099776,0.0998987,0.0998459,6.1191e-05,108.109,108.109,109.788,0,0,0.972189,***
"supply_short","supply_short_vcs_pll",211002,"Parametric","",-1,1,"mA",0.00913934,0.0289021,0.0203382,0.00478371,68.2637,71.0981,68.2637,0,0,0.18571,***
"supply_short","supply_short_vcs_pm_1",211003,"Parametric","",-1,1,"mA",0.00921911,0.0289787,0.0182207,0.00370618,88.3012,91.5787,88.3012,0,0,0.18571,***
"supply_short","supply_short_vcs_pm_2",211004,"Parametric","",-1,1,"mA",0.0110988,0.0269103,0.0189497,0.00416924,78.4356,81.4656,78.4356,0,0,0.18571,***
"supply_short","supply_short_vcsio_pll",211007,"Parametric","",-1,1,"mA",-0.00752886,0.0122296,0.00235037,0.00375184,88.6366,89.0542,88.6366,0,0,0.18571,***
"supply_short","supply_short_vcsio_ts",211008,"Parametric","",-1,1,"mA",-0.00431344,0.0154456,0.00737731,0.0041652,79.4378,80.6186,79.4378,0,0,0.18571,***
"supply_short","supply_short_vcsio_vs_1",211009,"Parametric","",-1,1,"mA",-0.00259207,0.0171724,0.00712547,0.00374931,88.2717,89.5386,88.2717,0,0,0.18571,***
"supply_short","supply_short_vcsio_vs_2",211010,"Parametric","",-1,1,"mA",-0.00412866,0.0116836,0.0055893,0.00363018,91.3096,92.3361,91.3096,0,0,0.18571,***
"supply_short","supply_short_vdd_io_clk",211005,"Parametric","",-1,1,"mA",0.0059932,0.021806,0.0138447,0.00383984,85.6074,88.0111,85.6074,0,0,0.18571,***
"supply_short","supply_short_vdd_pll",211006,"Parametric","",-1,1,"mA",0.00418296,0.0199899,0.0120864,0.0039238,83.9248,85.9783,83.9248,0,0,0.18571,***
"supply_short","supply_short_vddio_io_clk",211011,"Parametric","",-1,1,"mA",-0.00330466,0.0125047,0.0056979,0.00420701,78.7813,79.6843,78.7813,0,0,0.18571,***
