Device,Device ID,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"W3,1",1,1,0,"1113",6,3001,""
2,"W3,1",1,1,0,"1580",5,30330,""
3,"W4,1",1,1,0,"1113",6,2574,""
4,"W4,1",1,1,0,"1113",6,2548,""
5,"W5,1",1,1,0,"1113",6,2547,""
6,"W5,1",1,1,0,"1580",5,24449,""
7,"W6,1",1,1,1,"4",4,88424,""
8,"W7,1",1,1,0,"1580",5,24391,""
9,"W8,1",1,1,1,"2",2,135136,""
10,"W9,2",1,1,0,"1580",5,24423,""
11,"W8,2",1,1,0,"1580",5,24375,""
12,"W7,2",1,1,1,"2",2,129187,""
13,"W6,2",1,1,0,"1580",5,24348,""
14,"W5,2",1,1,0,"1580",5,24328,""
15,"W4,2",1,1,0,"1580",5,24339,""
16,"W3,2",1,1,0,"1580",5,24347,""
17,"W2,2",1,1,0,"1580",5,24282,""
18,"W1,3",1,1,0,"1412",5,43073,""
19,"W2,3",1,1,0,"1580",5,24323,""
20,"W3,3",1,1,1,"2",2,129062,""
21,"W4,3",1,1,0,"1580",5,24304,""
22,"W5,3",1,1,1,"2",2,126053,""
23,"W6,3",1,1,0,"1580",5,24335,""
24,"W7,3",1,1,0,"1580",5,24310,""
25,"W8,3",1,1,0,"1408",5,25411,""
26,"W9,3",1,1,1,"2",2,126950,""
27,"W10,3",1,1,0,"1580",5,24356,""
28,"W10,4",1,1,0,"1580",5,24364,""
29,"W9,4",1,1,0,"1416",5,33258,""
30,"W8,4",1,1,1,"2",2,129479,""
31,"W7,4",1,1,0,"1580",5,24396,""
32,"W6,4",1,1,0,"1580",5,24350,""
33,"W5,4",1,1,0,"1580",5,24335,""
34,"W4,4",1,1,0,"1580",5,24301,""
35,"W3,4",1,1,0,"1580",5,24278,""
36,"W2,4",1,1,0,"1412",5,40370,""
37,"W1,4",1,1,1,"4",4,89481,""
38,"W1,5",1,1,0,"1001",7,1192,""
39,"W2,5",1,1,0,"1580",5,24360,""
40,"W3,5",1,1,1,"2",2,122050,""
41,"W4,5",1,1,0,"1580",5,24333,""
42,"W5,5",1,1,0,"1580",5,24339,""
43,"W6,5",1,1,0,"1580",5,24299,""
44,"W7,5",1,1,0,"1580",5,24307,""
45,"W8,5",1,1,0,"1580",5,24303,""
46,"W9,5",1,1,0,"1580",5,24306,""
47,"W10,5",1,1,0,"1113",6,2559,""
48,"W10,5",1,1,0,"1113",6,2556,""
49,"W10,6",1,1,0,"1580",5,24333,""
50,"W9,6",1,1,0,"1580",5,24317,""
51,"W8,6",1,1,0,"1580",5,24314,""
52,"W7,6",1,1,0,"1580",5,24373,""
53,"W6,6",1,1,0,"1416",5,33282,""
54,"W5,6",1,1,1,"2",2,133487,""
55,"W4,6",1,1,0,"1580",5,24320,""
56,"W3,6",1,1,1,"4",4,97297,""
57,"W2,6",1,1,0,"1580",5,24312,""
58,"W1,6",1,1,0,"1414",5,27817,""
59,"W2,7",1,1,0,"1416",5,33293,""
60,"W3,7",1,1,1,"4",4,87196,""
61,"W4,7",1,1,0,"1580",5,24441,""
62,"W5,7",1,1,0,"1580",5,24318,""
63,"W6,7",1,1,0,"1580",5,24397,""
64,"W7,7",1,1,0,"1580",5,24346,""
65,"W8,7",1,1,0,"1580",5,24317,""
66,"W9,7",1,1,0,"1580",5,24308,""
67,"W7,8",1,1,0,"1580",5,24320,""
68,"W6,8",1,1,0,"1580",5,24306,""
69,"W5,8",1,1,0,"1580",5,24321,""
70,"W4,8",1,1,0,"1001",7,1200,""
