Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Fail#,Alarm#,Time,TS Time
"Device_Power_Up","vdd_core",721101,"Parametric","",0.08,0.12,"V",0.0497066,0.0998987,0.0991028,0.00598982,1.06307,1.06307,1.16293,1,0,0.972196,***
"supply_short","supply_short_vcs_pll",211002,"Parametric","",-1,1,"mA",0.0130919,0.0328546,0.0213922,0.0042105,77.4736,80.8607,77.4736,0,0,0.185693,***
"supply_short","supply_short_vcs_pm_1",211003,"Parametric","",-1,1,"mA",0.013171,0.0289787,0.0201716,0.00404652,80.7137,84.037,80.7137,0,0,0.185693,***
"supply_short","supply_short_vcs_pm_2",211004,"Parametric","",-1,1,"mA",0.00714599,0.0269103,0.0193434,0.0043998,74.2955,77.2265,74.2955,0,0,0.185693,***
"supply_short","supply_short_vcsio_pll",211007,"Parametric","",-1,1,"mA",-0.00357717,0.00827791,0.00189875,0.00338355,98.3288,98.7029,98.3288,0,0,0.185693,***
"supply_short","supply_short_vcsio_ts",211008,"Parametric","",-1,1,"mA",-0.000361633,0.0193974,0.00884042,0.0041866,78.9152,80.323,78.9152,0,0,0.185693,***
"supply_short","supply_short_vcsio_vs_1",211009,"Parametric","",-1,1,"mA",0.00136082,0.0211253,0.00791134,0.00460815,71.7634,72.9079,71.7634,0,0,0.185693,***
"supply_short","supply_short_vcsio_vs_2",211010,"Parametric","",-1,1,"mA",-0.00808173,0.0156367,0.00473751,0.00453653,73.1295,73.8257,73.1295,0,0,0.185693,***
"supply_short","supply_short_vdd_io_clk",211005,"Parametric","",-1,1,"mA",0.0059932,0.021806,0.0138431,0.00389508,84.3934,86.7627,84.3934,0,0,0.185693,***
"supply_short","supply_short_vdd_pll",211006,"Parametric","",-1,1,"mA",0.00418296,0.0239416,0.0132719,0.0040563,81.086,83.2673,81.086,0,0,0.185693,***
"supply_short","supply_short_vddio_io_clk",211011,"Parametric","",-1,1,"mA",-0.00330466,0.0164571,0.00770544,0.00374002,88.4392,89.8127,88.4392,0,0,0.185693,***
"supply_short","supply_short_vddio_pll",211012,"Parametric","",-1,1,"mA",-0.006107,0.00573914,-0.000353159,0.00334017,99.76,99.76,99.8305,0,0,0.185693,***
"supply_short","supply_short_vddio_rx",211013,"Parametric","",-1,1,"mA",0.0238367,0.0869936,0.0530468,0.0103546,30.4843,33.8996,30.4843,0,0,0.185693,***
"supply_short","supply_short_vddio_tx",211014,"Parametric","",-1,1,"mA",0.0276261,10.2551,0.213221,1.21782,0.215352,0.332075,0.215352,1,0,0.185693,***
"supply_short","supply_short_vdd_core",211001,"Parametric","",-0.1,1200,"mA",404.95,1401.01,545.483,111.506,1.63095,1.63095,1.95659,1,0,0.185693,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_0",110001,"Parametric","",0.5,0.9,"V",0.75172,0.753654,0.752244,0.000368888,133.515,227.932,133.515,0,0,0.235665,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_30",110002,"Parametric","",0.5,0.9,"V",0.751636,0.753513,0.752224,0.000348225,141.457,241.438,141.457,0,0,0.235665,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_13",110003,"Parametric","",0.5,0.9,"V",0.751267,0.752919,0.751838,0.000377082,130.973,222.62,130.973,0,0,0.235665,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_5",110004,"Parametric","",0.5,0.9,"V",0.751632,0.753511,0.752099,0.00036909,133.572,227.676,133.572,0,0,0.235665,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_1",110005,"Parametric","",0.5,0.9,"V",0.751733,0.75361,0.752256,0.00037012,133.06,227.183,133.06,0,0,0.235665,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_9",110006,"Parametric","",0.5,0.9,"V",0.751517,0.753452,0.751977,0.000363796,135.628,230.878,135.628,0,0,0.235665,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_4",110007,"Parametric","",0.2,0.4,"V",0.280749,0.305129,0.290691,0.00622028,4.85995,4.85995,5.85769,0,0,0.235665,***
