Device,Device ID,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"W3,1",1,1,0,"1113",6,3976,""
2,"W3,1",1,1,0,"1113",6,2561,""
3,"W4,1",1,1,0,"1580",5,100537,""
4,"W5,1",1,1,0,"1580",5,23865,""
5,"W6,1",1,1,1,"4",4,89830,""
6,"W7,1",1,1,0,"1580",5,23860,""
7,"W8,1",1,1,1,"2",2,129836,""
8,"W9,2",1,1,0,"1580",5,23886,""
9,"W8,2",1,1,0,"1580",5,23921,""
10,"W7,2",1,1,1,"2",2,119817,""
11,"W6,2",1,1,1,"2",2,112267,""
12,"W5,2",1,1,0,"1580",5,23843,""
13,"W4,2",1,1,0,"1580",5,23861,""
14,"W3,2",1,1,0,"1111",6,1424,""
15,"W3,2",1,1,0,"1111",6,1423,""
16,"W2,2",1,1,0,"1111",6,1427,""
17,"W2,2",1,1,0,"1111",6,1420,""
18,"W1,3",1,1,0,"1111",6,1430,""
19,"W1,3",1,1,0,"1111",6,1429,""
20,"W2,3",1,1,0,"1111",6,1425,""
21,"W2,3",1,1,0,"1111",6,1426,""
22,"W3,3",1,1,0,"1111",6,1427,""
23,"W3,3",1,1,0,"1111",6,1426,""
24,"W4,3",1,1,0,"1111",6,1428,""
25,"W4,3",1,1,0,"1111",6,1430,""
26,"W5,3",1,1,0,"1111",6,1423,""
27,"W5,3",1,1,0,"1111",6,1423,""
28,"W6,3",1,1,1,"2",2,115518,""
29,"W7,3",1,1,0,"1580",5,23847,""
30,"W8,3",1,1,0,"1408",5,14469,""
31,"W9,3",1,1,1,"2",2,110361,""
32,"W10,3",1,1,0,"1411",5,19107,""
33,"W10,4",1,1,1,"4",4,78405,""
34,"W9,4",1,1,0,"1416",5,18559,""
35,"W8,4",1,1,1,"2",2,112339,""
36,"W7,4",1,1,0,"1416",5,18548,""
37,"W6,4",1,1,0,"1580",5,23836,""
38,"W5,4",1,1,1,"4",4,100624,""
39,"W4,4",1,1,1,"2",2,117507,""
40,"W3,4",1,1,0,"1412",5,32042,""
41,"W2,4",1,1,0,"1412",5,28316,""
42,"W1,4",1,1,1,"4",4,77803,""
43,"W1,5",1,1,0,"1001",7,1220,""
44,"W2,5",1,1,0,"1580",5,23870,""
45,"W3,5",1,1,1,"2",2,110425,""
46,"W4,5",1,1,1,"3",3,132425,""
47,"W5,5",1,1,0,"1580",5,23850,""
48,"W6,5",1,1,0,"1580",5,23840,""
49,"W7,5",1,1,0,"1113",6,2576,""
50,"W7,5",1,1,0,"1113",6,2549,""
51,"W8,5",1,1,0,"1113",6,2538,""
52,"W8,5",1,1,0,"1113",6,2575,""
53,"W9,5",1,1,0,"1113",6,2547,""
54,"W9,5",1,1,0,"1113",6,2546,""
55,"W10,5",1,1,0,"1113",6,2543,""
56,"W10,5",1,1,0,"1113",6,2539,""
57,"W10,6",1,1,0,"1113",6,2538,""
58,"W10,6",1,1,0,"1113",6,2536,""
59,"W9,6",1,1,0,"1113",6,2542,""
60,"W9,6",1,1,0,"1113",6,2535,""
61,"W8,6",1,1,0,"1113",6,2543,""
62,"W8,6",1,1,0,"1113",6,2567,""
63,"W7,6",1,1,0,"1113",6,2542,""
64,"W7,6",1,1,0,"1113",6,2530,""
65,"W6,6",1,1,0,"1113",6,2557,""
66,"W6,6",1,1,0,"1113",6,2540,""
67,"W5,6",1,1,0,"1113",6,2536,""
68,"W5,6",1,1,0,"1113",6,2541,""
69,"W4,6",1,1,0,"1580",5,23892,""
70,"W3,6",1,1,1,"4",4,88173,""
71,"W2,6",1,1,0,"1580",5,23883,""
72,"W1,6",1,1,0,"1414",5,19495,""
73,"W2,7",1,1,0,"1416",5,22279,""
74,"W3,7",1,1,1,"4",4,74828,""
75,"W4,7",1,1,0,"1580",5,23853,""
76,"W5,7",1,1,0,"1580",5,23866,""
77,"W6,7",1,1,1,"2",2,113082,""
78,"W7,7",1,1,0,"1113",6,2551,""
79,"W7,7",1,1,0,"1113",6,2541,""
80,"W8,7",1,1,1,"2",2,109055,""
81,"W9,7",1,1,0,"1580",5,23824,""
82,"W7,8",1,1,0,"1411",5,22768,""
83,"W6,8",1,1,0,"1580",5,23846,""
84,"W5,8",1,1,0,"1113",6,2546,""
85,"W5,8",1,1,0,"1113",6,2536,""
86,"W4,8",1,1,0,"1001",7,1199,""
