SW Bin,Desc,Site,Site%,Device#,Bin%,Good Bin,Reprobe Bin
"1113","Continuity_Mux_Pos",1,30.2,26,30.2,1,0
"1580","PMBIST_Post_repair_Func_fail",1,20.9,18,20.9,1,0
"4","TOP ONLY",1,7,6,7,1,0
"2","Medium",1,11.6,10,11.6,1,0
"1111","Continuity_DIr_Pos",1,16.3,14,16.3,1,0
"1408","PMBIST_BWE_Func_fail",1,1.2,1,1.2,1,0
"1411","TOP_SAF4_CORE_ROW_0_7_SCAN_Fail",1,2.3,2,2.3,1,0
"1416","TOP_SAF4_EXTEST_LOGIC_1_Fail",1,3.5,3,3.5,1,0
"1412","TOP_SAF4_CORE_ROW_0_7_LOGIC_Fail",1,2.3,2,2.3,1,0
"1001","supply_short_fail",1,2.3,2,2.3,1,0
"3","Slow",1,1.2,1,1.2,1,0
"1414","TOP_SAF4_EXTEST_SCAN_1_Fail",1,1.2,1,1.2,1,0
