Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"Device_Power_Up","vdd_core",721101,"Parametric","",0.08,0.12,"V",0.0477431,0.0998987,0.0992723,0.00562209,1.14265,1.14265,1.22895,86,1,0,0.982752,***
"supply_short","supply_short_vcs_pll",211002,"Parametric","",-1,1,"mA",0.00913934,0.0289021,0.0197101,0.00408706,79.9507,83.1658,79.9507,86,0,0,0.185325,***
"supply_short","supply_short_vcs_pm_1",211003,"Parametric","",-1,1,"mA",0.013171,0.0289787,0.0201558,0.00414146,78.8647,82.1092,78.8647,86,0,0,0.185325,***
"supply_short","supply_short_vcs_pm_2",211004,"Parametric","",-1,1,"mA",0.00714599,0.0308631,0.020935,0.00405588,80.4647,83.9058,80.4647,86,0,0,0.185325,***
"supply_short","supply_short_vcsio_pll",211007,"Parametric","",-1,1,"mA",-0.00752886,0.0122296,0.00423432,0.00368598,90.0498,90.8157,90.0498,86,0,0,0.185325,***
"supply_short","supply_short_vcsio_ts",211008,"Parametric","",-1,1,"mA",-0.000361633,0.0154456,0.00850695,0.00401801,82.254,83.6655,82.254,86,0,0,0.185325,***
"supply_short","supply_short_vcsio_vs_1",211009,"Parametric","",-1,1,"mA",-0.00259207,0.0171724,0.00793367,0.00409499,80.7544,82.046,80.7544,86,0,0,0.185325,***
"supply_short","supply_short_vcsio_vs_2",211010,"Parametric","",-1,1,"mA",-0.000175588,0.0156367,0.00501856,0.00328012,101.112,102.132,101.112,86,0,0,0.185325,***
"supply_short","supply_short_vdd_io_clk",211005,"Parametric","",-1,1,"mA",0.00203999,0.021806,0.013348,0.00437961,75.0943,77.1262,75.0943,86,0,0,0.185325,***
"supply_short","supply_short_vdd_pll",211006,"Parametric","",-1,1,"mA",0.00418296,0.0199899,0.0123162,0.0037048,88.8651,91.0814,88.8651,86,0,0,0.185325,***
"supply_short","supply_short_vddio_io_clk",211011,"Parametric","",-1,1,"mA",0.00064768,0.0204094,0.00827663,0.0036773,89.8959,91.3964,89.8959,86,0,0,0.185325,***
"supply_short","supply_short_vddio_pll",211012,"Parametric","",-1,1,"mA",-0.006107,0.00968786,-0.000321674,0.00422684,78.8358,78.8358,78.8866,86,0,0,0.185325,***
"supply_short","supply_short_vddio_rx",211013,"Parametric","",-1,1,"mA",0.0238367,0.079099,0.0515138,0.00999505,31.6319,35.0678,31.6319,86,0,0,0.185325,***
"supply_short","supply_short_vddio_tx",211014,"Parametric","",-1,1,"mA",0.0276261,10.0971,0.181446,1.08212,0.252144,0.363928,0.252144,86,1,0,0.185325,***
"supply_short","supply_short_vdd_core",211001,"Parametric","",-0.1,1200,"mA",424.091,1399.97,546.38,99.7832,1.82556,1.82556,2.18347,86,1,0,0.185325,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_0",110001,"Parametric","",0.5,0.9,"V",0.751948,0.753767,0.752393,0.000314407,156.492,267.586,156.492,84,0,0,0.234594,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_30",110002,"Parametric","",0.5,0.9,"V",0.75192,0.754026,0.75235,0.000327461,150.298,256.875,150.298,84,0,0,0.234594,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_13",110003,"Parametric","",0.5,0.9,"V",0.751495,0.753374,0.751939,0.000331375,148.936,253.428,148.936,84,0,0,0.234594,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_5",110004,"Parametric","",0.5,0.9,"V",0.751803,0.754023,0.752263,0.000360666,136.541,233.146,136.541,84,0,0,0.234594,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_1",110005,"Parametric","",0.5,0.9,"V",0.751846,0.753895,0.752352,0.000374166,131.535,224.813,131.535,84,0,0,0.234594,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_9",110006,"Parametric","",0.5,0.9,"V",0.751574,0.753907,0.75206,0.000350979,140.503,239.387,140.503,84,0,0,0.234594,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_4",110007,"Parametric","",0.2,0.4,"V",0.280806,0.305699,0.290614,0.00633851,4.76526,4.76526,5.75247,84,0,0,0.234594,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_8",110008,"Parametric","",0.5,0.9,"V",0.751672,0.753835,0.752195,0.000374402,131.592,224.532,131.592,84,0,0,0.234594,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_4",110009,"Parametric","",0.5,0.9,"V",0.751443,0.753492,0.75191,0.000366571,134.662,229.069,134.662,84,0,0,0.234594,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_30",110010,"Parametric","",0.2,0.4,"V",0.281324,0.304726,0.290147,0.00626503,4.79629,4.79629,5.84479,84,0,0,0.234594,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_26",110011,"Parametric","",0.2,0.4,"V",0.280458,0.305008,0.290101,0.00651238,4.61176,4.61176,5.62515,84,0,0,0.234594,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_18",110012,"Parametric","",0.5,0.9,"V",0.751772,0.753991,0.752302,0.000360137,136.705,233.524,136.705,84,0,0,0.234594,***
