Device,Device ID,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"W3,1",1,1,0,"1131",7,6091,""
2,"W4,1",1,1,0,"1580",5,26735,""
3,"W5,1",1,1,0,"1580",5,23843,""
4,"W6,1",1,1,0,"1412",5,34127,""
5,"W7,1",1,1,0,"1580",5,23865,""
6,"W8,1",1,1,0,"1580",5,23859,""
7,"W9,2",1,1,0,"1580",5,23848,""
8,"W8,2",1,1,0,"1580",5,23791,""
9,"W7,2",1,1,0,"1580",5,23820,""
10,"W6,2",1,1,0,"1580",5,23845,""
11,"W5,2",1,1,1,"2",2,130342,""
12,"W4,2",1,1,0,"1580",5,23844,""
13,"W3,2",1,1,0,"1131",7,4028,""
14,"W2,2",1,1,0,"1580",5,32058,""
15,"W1,3",1,1,0,"1131",7,4038,""
16,"W2,3",1,1,0,"1001",7,1223,""
17,"W3,3",1,1,0,"1131",7,4040,""
18,"W4,3",1,1,0,"1580",5,23825,""
19,"W5,3",1,1,0,"1580",5,23825,""
20,"W6,3",1,1,0,"1580",5,23778,""
21,"W7,3",1,1,0,"1580",5,23784,""
22,"W8,3",1,1,0,"1580",5,23801,""
23,"W9,3",1,1,0,"1113",6,2546,""
24,"W9,3",1,1,0,"1113",6,2528,""
25,"W10,3",1,1,0,"1113",6,2545,""
26,"W10,3",1,1,0,"1113",6,2549,""
27,"W10,4",1,1,0,"1580",5,23809,""
28,"W9,4",1,1,0,"1580",5,23794,""
29,"W8,4",1,1,0,"1580",5,23792,""
30,"W7,4",1,1,0,"1580",5,23811,""
31,"W6,4",1,1,0,"1580",5,23827,""
32,"W5,4",1,1,0,"1412",5,28278,""
33,"W4,4",1,1,0,"1580",5,23816,""
34,"W3,4",1,1,0,"1580",5,23794,""
35,"W2,4",1,1,0,"1580",5,23794,""
36,"W1,4",1,1,0,"1113",6,2536,""
37,"W1,4",1,1,0,"1113",6,2546,""
38,"W1,5",1,1,0,"1580",5,23802,""
39,"W2,5",1,1,0,"1580",5,23824,""
40,"W3,5",1,1,0,"1580",5,23811,""
41,"W4,5",1,1,0,"1580",5,23810,""
42,"W5,5",1,1,0,"1411",5,22750,""
43,"W6,5",1,1,0,"1580",5,23783,""
44,"W7,5",1,1,0,"1580",5,23792,""
45,"W8,5",1,1,0,"1580",5,23827,""
46,"W9,5",1,1,0,"1580",5,23790,""
47,"W10,5",1,1,0,"1580",5,23832,""
48,"W10,6",1,1,0,"1580",5,23849,""
49,"W9,6",1,1,0,"1113",6,2539,""
50,"W9,6",1,1,0,"1113",6,2524,""
51,"W8,6",1,1,0,"1580",5,23800,""
52,"W7,6",1,1,0,"1580",5,23818,""
53,"W6,6",1,1,0,"1111",6,1425,""
54,"W6,6",1,1,0,"1111",6,1419,""
55,"W5,6",1,1,0,"1580",5,23767,""
56,"W4,6",1,1,0,"1580",5,23786,""
57,"W3,6",1,1,0,"1580",5,23824,""
58,"W2,6",1,1,0,"1001",7,1190,""
59,"W1,6",1,1,0,"1580",5,23793,""
60,"W2,7",1,1,0,"1001",7,1196,""
61,"W3,7",1,1,0,"1131",7,4088,""
62,"W4,7",1,1,0,"1580",5,23801,""
63,"W5,7",1,1,0,"1001",7,1188,""
64,"W6,7",1,1,0,"1580",5,23796,""
65,"W7,7",1,1,0,"1131",7,4057,""
66,"W8,7",1,1,0,"1580",5,23810,""
67,"W9,7",1,1,0,"1113",6,2548,""
68,"W9,7",1,1,0,"1113",6,2547,""
69,"W7,8",1,1,0,"1580",5,23875,""
70,"W6,8",1,1,0,"1580",5,26364,""
71,"W5,8",1,1,0,"1111",6,1421,""
72,"W5,8",1,1,0,"1111",6,1417,""
73,"W4,8",1,1,0,"1131",7,4078,""
