Device,Device ID,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"W3,1",1,1,0,"1580",5,45762,""
2,"W4,1",1,1,0,"1580",5,23849,""
3,"W5,1",1,1,0,"1580",5,23810,""
4,"W6,1",1,1,0,"1113",6,2566,""
5,"W6,1",1,1,0,"1113",6,2527,""
6,"W7,1",1,1,0,"1580",5,23821,""
7,"W8,1",1,1,1,"2",2,148227,""
8,"W9,2",1,1,0,"1580",5,23825,""
9,"W8,2",1,1,0,"1113",6,2534,""
10,"W8,2",1,1,0,"1580",5,23827,""
11,"W7,2",1,1,1,"2",2,117555,""
12,"W6,2",1,1,1,"2",2,118692,""
13,"W5,2",1,1,0,"1580",5,23810,""
14,"W4,2",1,1,0,"1580",5,23798,""
15,"W3,2",1,1,0,"1580",5,23785,""
16,"W2,2",1,1,0,"1434",5,18915,""
17,"W1,3",1,1,0,"1412",5,31985,""
18,"W2,3",1,1,0,"1580",5,23850,""
19,"W3,3",1,1,1,"2",2,115106,""
20,"W4,3",1,1,0,"1412",5,31940,""
21,"W5,3",1,1,1,"2",2,123188,""
22,"W6,3",1,1,1,"2",2,110612,""
23,"W7,3",1,1,0,"1580",5,23822,""
24,"W8,3",1,1,0,"1408",5,14345,""
25,"W9,3",1,1,1,"2",2,108119,""
26,"W10,3",1,1,0,"1411",5,19078,""
27,"W10,4",1,1,1,"4",4,77754,""
28,"W9,4",1,1,0,"1416",5,18558,""
29,"W8,4",1,1,1,"2",2,113341,""
30,"W7,4",1,1,0,"1416",5,18496,""
31,"W6,4",1,1,0,"1580",5,23780,""
32,"W5,4",1,1,1,"4",4,100150,""
33,"W4,4",1,1,1,"2",2,113797,""
34,"W3,4",1,1,0,"1412",5,32022,""
35,"W2,4",1,1,0,"1412",5,28232,""
36,"W1,4",1,1,1,"4",4,81643,""
37,"W1,5",1,1,0,"1001",7,1188,""
38,"W2,5",1,1,0,"1580",5,23887,""
39,"W3,5",1,1,1,"2",2,111603,""
40,"W4,5",1,1,1,"3",3,129178,""
41,"W5,5",1,1,0,"1580",5,23795,""
42,"W6,5",1,1,0,"1580",5,23800,""
43,"W7,5",1,1,0,"1580",5,23832,""
44,"W8,5",1,1,0,"1580",5,23794,""
45,"W9,5",1,1,1,"2",2,111638,""
46,"W10,5",1,1,0,"1580",5,73239,""
47,"W10,6",1,1,0,"1491",5,11144,""
48,"W9,6",1,1,0,"1580",5,23834,""
49,"W8,6",1,1,1,"2",2,122254,""
50,"W7,6",1,1,0,"1411",5,19035,""
51,"W6,6",1,1,0,"1416",5,18514,""
52,"W5,6",1,1,0,"1113",6,2533,""
53,"W5,6",1,1,0,"1113",6,2533,""
54,"W4,6",1,1,0,"1113",6,2572,""
55,"W4,6",1,1,0,"1113",6,2577,""
56,"W3,6",1,1,0,"1113",6,2552,""
57,"W3,6",1,1,0,"1113",6,2544,""
58,"W2,6",1,1,0,"1113",6,2537,""
59,"W2,6",1,1,0,"1113",6,2529,""
60,"W1,6",1,1,0,"1113",6,2530,""
61,"W1,6",1,1,0,"1113",6,2531,""
62,"W2,7",1,1,0,"1113",6,2539,""
63,"W2,7",1,1,0,"1113",6,2529,""
64,"W3,7",1,1,0,"1113",6,2531,""
65,"W3,7",1,1,0,"1113",6,2542,""
66,"W4,7",1,1,0,"1580",5,23911,""
67,"W5,7",1,1,0,"1580",5,23785,""
68,"W6,7",1,1,1,"2",2,114281,""
69,"W7,7",1,1,0,"1493",5,18191,""
70,"W8,7",1,1,1,"2",2,108748,""
71,"W9,7",1,1,0,"1580",5,23842,""
72,"W7,8",1,1,0,"1411",5,22753,""
73,"W6,8",1,1,0,"1580",5,23784,""
74,"W5,8",1,1,0,"1580",5,23836,""
75,"W4,8",1,1,0,"1001",7,1194,""
