SW Bin,Desc,Site,Site%,Device#,Bin%,Good Bin,Reprobe Bin
"1580","PMBIST_Post_repair_Func_fail",1,32,24,32,1,0
"1113","Continuity_Mux_Pos",1,22.7,17,22.7,1,0
"2","Medium",1,18.7,14,18.7,1,0
"1434","TOP_SAF4_COL_ROW_LOGIC_Fail",1,1.3,1,1.3,1,0
"1412","TOP_SAF4_CORE_ROW_0_7_LOGIC_Fail",1,5.3,4,5.3,1,0
"1408","PMBIST_BWE_Func_fail",1,1.3,1,1.3,1,0
"1411","TOP_SAF4_CORE_ROW_0_7_SCAN_Fail",1,4,3,4,1,0
"4","TOP ONLY",1,4,3,4,1,0
"1416","TOP_SAF4_EXTEST_LOGIC_1_Fail",1,4,3,4,1,0
"1001","supply_short_fail",1,2.7,2,2.7,1,0
"3","Slow",1,1.3,1,1.3,1,0
"1491","TOP_SAF4_CTRL_DATA_TOP_SCAN_Fail",1,1.3,1,1.3,1,0
"1493","TOP_SAF4_COL_ROW_SCAN_Fail",1,1.3,1,1.3,1,0
