Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Fail#,Alarm#,Time,TS Time
"Device_Power_Up","vdd_core",721101,"Parametric","",0.08,0.12,"V",0.0495839,0.0998987,0.099169,0.00580328,1.10104,1.10104,1.19651,1,0,0.983556,***
"supply_short","supply_short_vcs_pll",211002,"Parametric","",-1,1,"mA",0.0130919,0.0289021,0.0196795,0.00369489,88.4393,91.99,88.4393,0,0,0.184635,***
"supply_short","supply_short_vcs_pm_1",211003,"Parametric","",-1,1,"mA",0.00921911,0.0250268,0.0179133,0.00405733,80.6842,83.6276,80.6842,0,0,0.184635,***
"supply_short","supply_short_vcs_pm_2",211004,"Parametric","",-1,1,"mA",0.0110988,0.0308631,0.0215871,0.00413525,78.8677,82.3479,78.8677,0,0,0.184635,***
"supply_short","supply_short_vcsio_pll",211007,"Parametric","",-1,1,"mA",-0.00357717,0.0122296,0.00416815,0.0035843,92.6105,93.3858,92.6105,0,0,0.184635,***
"supply_short","supply_short_vcsio_ts",211008,"Parametric","",-1,1,"mA",-0.000361633,0.0154456,0.00812157,0.00404122,81.8134,83.1532,81.8134,0,0,0.184635,***
"supply_short","supply_short_vcsio_vs_1",211009,"Parametric","",-1,1,"mA",-0.00259207,0.0171724,0.00657865,0.00396144,83.591,84.6981,83.591,0,0,0.184635,***
"supply_short","supply_short_vcsio_vs_2",211010,"Parametric","",-1,1,"mA",-0.00412866,0.0156367,0.00514788,0.00403205,82.2453,83.0964,82.2453,0,0,0.184635,***
"supply_short","supply_short_vdd_io_clk",211005,"Parametric","",-1,1,"mA",0.00203999,0.021806,0.0125292,0.00364719,90.2495,92.5397,90.2495,0,0,0.184635,***
"supply_short","supply_short_vdd_pll",211006,"Parametric","",-1,1,"mA",0.000231226,0.0199899,0.0118757,0.00430413,76.5252,78.3646,76.5252,0,0,0.184635,***
"supply_short","supply_short_vddio_io_clk",211011,"Parametric","",-1,1,"mA",0.00064768,0.0204094,0.00760381,0.00366641,90.2243,91.6069,90.2243,0,0,0.184635,***
"supply_short","supply_short_vddio_pll",211012,"Parametric","",-1,1,"mA",-0.0100557,0.00968786,0.00063214,0.00448691,74.2432,74.3371,74.2432,0,0,0.184635,***
"supply_short","supply_short_vddio_rx",211013,"Parametric","",-1,1,"mA",0.0317313,0.0712044,0.0515205,0.00918861,34.4078,38.1458,34.4078,0,0,0.184635,***
"supply_short","supply_short_vddio_tx",211014,"Parametric","",-1,1,"mA",-0.0118621,10.2156,0.209798,1.17125,0.224889,0.344305,0.224889,1,0,0.184635,***
"supply_short","supply_short_vdd_core",211001,"Parametric","",-0.1,1200,"mA",418.015,1400.4,541.203,108.196,1.66766,1.66766,2.02964,1,0,0.184635,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_0",110001,"Parametric","",0.5,0.9,"V",0.751948,0.754108,0.752527,0.000380771,129.1,221.066,129.1,0,0,0.233256,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_30",110002,"Parametric","",0.5,0.9,"V",0.75192,0.754424,0.752539,0.000414635,118.547,203.021,118.547,0,0,0.233256,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_13",110003,"Parametric","",0.5,0.9,"V",0.751438,0.75383,0.752116,0.000403299,122.229,208.378,122.229,0,0,0.233256,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_5",110004,"Parametric","",0.5,0.9,"V",0.751746,0.754307,0.752392,0.000411573,119.548,204.412,119.548,0,0,0.233256,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_1",110005,"Parametric","",0.5,0.9,"V",0.751903,0.754179,0.752471,0.000401928,122.351,209.384,122.351,0,0,0.233256,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_9",110006,"Parametric","",0.5,0.9,"V",0.751574,0.754192,0.752212,0.000418928,117.593,200.68,117.593,0,0,0.233256,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_4",110007,"Parametric","",0.2,0.4,"V",0.280977,0.305471,0.290171,0.00600141,5.0083,5.0083,6.10021,0,0,0.233256,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_8",110008,"Parametric","",0.5,0.9,"V",0.751672,0.754176,0.752331,0.000399299,123.274,210.645,123.274,0,0,0.233256,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_4",110009,"Parametric","",0.5,0.9,"V",0.751443,0.753833,0.752049,0.000413238,119.343,203.312,119.343,0,0,0.233256,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_30",110010,"Parametric","",0.2,0.4,"V",0.281267,0.305239,0.289709,0.00600052,4.98339,4.98339,6.12676,0,0,0.233256,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_26",110011,"Parametric","",0.2,0.4,"V",0.280515,0.305008,0.289636,0.00620258,4.81712,4.81712,5.9311,0,0,0.233256,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_18",110012,"Parametric","",0.5,0.9,"V",0.751829,0.754276,0.752439,0.000405078,121.426,207.729,121.426,0,0,0.233256,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_8",110013,"Parametric","",0.5,0.9,"V",0.751689,0.754307,0.75237,0.000428206,114.921,196.455,114.921,0,0,0.233256,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_4",110014,"Parametric","",0.5,0.9,"V",0.751553,0.754001,0.752211,0.000420219,117.231,200.064,117.231,0,0,0.233256,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_21",110015,"Parametric","",0.2,0.4,"V",0.281338,0.304751,0.28989,0.00595152,5.03456,5.03456,6.16705,0,0,0.233256,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_1",110016,"Parametric","",0.5,0.9,"V",0.751832,0.75445,0.752458,0.0004299,114.4,195.749,114.4,0,0,0.233256,***
"Continuity_Direct_Pos","cont_row_even_col_even_tap_tck_pad_i",110017,"Parametric","",0.5,0.9,"V",0.75202,0.754695,0.752615,0.000434229,113.14,193.918,113.14,0,0,0.233256,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_size_1",110018,"Parametric","",0.2,0.4,"V",0.281909,0.307513,0.290249,0.00599923,5.01445,5.01445,6.09808,0,0,0.233256,***
"Continuity_Direct_Pos","cont_row_even_col_even_tap_tdi_pad_i",110019,"Parametric","",0.5,0.9,"V",0.751727,0.754516,0.752324,0.000448586,109.734,187.496,109.734,0,0,0.233256,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_2",110020,"Parametric","",0.2,0.4,"V",0.28145,0.305139,0.290122,0.0060016,5.00544,5.00544,6.1027,0,0,0.233256,***
