Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"Device_Power_Up","vdd_core",721101,"Parametric","",0.08,0.12,"V",0.0714279,0.0998987,0.0995335,0.00308522,2.11043,2.11043,2.21124,85,1,0,0.97041,***
"supply_short","supply_short_vcs_pll",211002,"Parametric","",-1,1,"mA",0.0130919,0.0328546,0.021555,0.00444648,73.3498,76.5816,73.3498,85,0,0,0.185102,***
"supply_short","supply_short_vcs_pm_1",211003,"Parametric","",-1,1,"mA",0.013171,0.0289787,0.0206099,0.00362875,89.9657,93.7521,89.9657,85,0,0,0.185102,***
"supply_short","supply_short_vcs_pm_2",211004,"Parametric","",-1,1,"mA",0.0110988,0.0308631,0.0232364,0.00447332,72.7844,76.2474,72.7844,85,0,0,0.185102,***
"supply_short","supply_short_vcsio_pll",211007,"Parametric","",-1,1,"mA",-0.00357717,0.0122296,0.0044192,0.00344805,96.2457,97.1002,96.2457,85,0,0,0.185102,***
"supply_short","supply_short_vcsio_ts",211008,"Parametric","",-1,1,"mA",-0.000361633,0.0193974,0.00926217,0.00428786,77.0188,78.4588,77.0188,85,0,0,0.185102,***
"supply_short","supply_short_vcsio_vs_1",211009,"Parametric","",-1,1,"mA",0.00136082,0.0171724,0.00787148,0.00398598,82.9682,84.2848,82.9682,85,0,0,0.185102,***
"supply_short","supply_short_vcsio_vs_2",211010,"Parametric","",-1,1,"mA",-0.00412866,0.0156367,0.00559124,0.00397901,83.3046,84.2414,83.3046,85,0,0,0.185102,***
"supply_short","supply_short_vdd_io_clk",211005,"Parametric","",-1,1,"mA",0.0059932,0.0257592,0.0164576,0.00455277,72.0106,74.4205,72.0106,85,0,0,0.185102,***
"supply_short","supply_short_vdd_pll",211006,"Parametric","",-1,1,"mA",0.00418296,0.0239416,0.0146434,0.00384229,85.4834,88.0242,85.4834,85,0,0,0.185102,***
"supply_short","supply_short_vddio_io_clk",211011,"Parametric","",-1,1,"mA",0.00064768,0.0164571,0.00831988,0.0040155,82.321,83.7023,82.321,85,0,0,0.185102,***
"supply_short","supply_short_vddio_pll",211012,"Parametric","",-1,1,"mA",-0.0100557,0.00573914,-0.000300067,0.00388178,85.8454,85.8454,85.897,85,0,0,0.185102,***
"supply_short","supply_short_vddio_rx",211013,"Parametric","",-1,1,"mA",0.0475205,102.296,1.28588,11.0865,-0.00859529,0.0687284,-0.00859529,85,1,0,0.185102,***
"supply_short","supply_short_vddio_tx",211014,"Parametric","",-1,1,"mA",0.0671143,113.24,1.43573,12.2713,-0.0118359,0.066163,-0.0118359,85,1,0,0.185102,***
"supply_short","supply_short_vdd_core",211001,"Parametric","",-0.1,1200,"mA",435.029,1011.44,566.814,79.2667,2.38399,2.38399,2.66268,85,0,0,0.185102,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_0",110001,"Parametric","",0.5,0.9,"V",0.751834,0.75371,0.752509,0.00033594,146.346,250.55,146.346,83,0,0,0.234672,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_30",110002,"Parametric","",0.5,0.9,"V",0.75175,0.753741,0.752551,0.000320397,153.402,262.748,153.402,83,0,0,0.234672,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_13",110003,"Parametric","",0.5,0.9,"V",0.751381,0.753374,0.752133,0.000321761,153.185,261.201,153.185,83,0,0,0.234672,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_5",110004,"Parametric","",0.5,0.9,"V",0.751746,0.754023,0.752394,0.00033373,147.43,252.094,147.43,83,0,0,0.234672,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_1",110005,"Parametric","",0.5,0.9,"V",0.751789,0.754577,0.752465,0.000398133,123.523,211.374,123.523,83,0,0,0.234672,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_9",110006,"Parametric","",0.5,0.9,"V",0.75146,0.753737,0.752231,0.000367923,133.877,228.518,133.877,83,0,0,0.234672,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_4",110007,"Parametric","",0.2,0.4,"V",0.278129,0.298635,0.28799,0.00487445,6.01711,6.01711,7.65966,83,0,0,0.234672,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_8",110008,"Parametric","",0.5,0.9,"V",0.751672,0.753778,0.752273,0.000329156,149.602,255.474,149.602,83,0,0,0.234672,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_4",110009,"Parametric","",0.5,0.9,"V",0.751443,0.753492,0.7521,0.00030679,160.696,273.912,160.696,83,0,0,0.234672,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_30",110010,"Parametric","",0.2,0.4,"V",0.278989,0.296185,0.287074,0.00489689,5.92716,5.92716,7.68693,83,0,0,0.234672,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_26",110011,"Parametric","",0.2,0.4,"V",0.27835,0.296692,0.287627,0.00511455,5.71095,5.71095,7.32376,83,0,0,0.234672,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_18",110012,"Parametric","",0.5,0.9,"V",0.751715,0.753934,0.75238,0.000334744,146.998,251.316,146.998,83,0,0,0.234672,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_8",110013,"Parametric","",0.5,0.9,"V",0.751519,0.753852,0.752352,0.00035468,138.761,237.164,138.761,83,0,0,0.234672,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_4",110014,"Parametric","",0.5,0.9,"V",0.751496,0.753717,0.75223,0.000333541,147.678,252.073,147.678,83,0,0,0.234672,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_21",110015,"Parametric","",0.2,0.4,"V",0.279059,0.297004,0.287629,0.00505928,5.77348,5.77348,7.40362,83,0,0,0.234672,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_1",110016,"Parametric","",0.5,0.9,"V",0.751832,0.753995,0.752537,0.000341801,143.81,246.281,143.81,83,0,0,0.234672,***
"Continuity_Direct_Pos","cont_row_even_col_even_tap_tck_pad_i",110017,"Parametric","",0.5,0.9,"V",0.751849,0.754467,0.752676,0.00037848,129.75,222.536,129.75,83,0,0,0.234672,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_size_1",110018,"Parametric","",0.2,0.4,"V",0.27986,0.2971,0.287714,0.00480285,6.08766,6.08766,7.79298,83,0,0,0.234672,***
"Continuity_Direct_Pos","cont_row_even_col_even_tap_tdi_pad_i",110019,"Parametric","",0.5,0.9,"V",0.751671,0.753833,0.752374,0.000348164,141.338,241.624,141.338,83,0,0,0.234672,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_2",110020,"Parametric","",0.2,0.4,"V",0.279457,0.29654,0.288056,0.00477236,6.15045,6.15045,7.81889,83,0,0,0.234672,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_addr_valid",110021,"Parametric","",0.2,0.4,"V",0.280053,0.296628,0.287405,0.00483116,6.03068,6.03068,7.76864,83,0,0,0.234672,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_7",110022,"Parametric","",0.2,0.4,"V",0.279736,0.299267,0.288404,0.0051337,5.74011,5.74011,7.24599,83,0,0,0.234672,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_2",110023,"Parametric","",0.5,0.9,"V",0.751547,0.754622,0.752311,0.000418222,117.712,201.098,117.712,83,0,0,0.234672,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_15",110024,"Parametric","",0.5,0.9,"V",0.751672,0.753778,0.752308,0.000347586,141.636,241.962,141.636,83,0,0,0.234672,***
"Continuity_Direct_Pos","cont_row_even_col_even_pmon_d_clk0_pad_o",110025,"Parametric","",0.2,0.4,"V",0.276889,0.29977,0.288223,0.00556495,5.28446,5.28446,6.69529,83,0,0,0.234672,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_18",110026,"Parametric","",0.2,0.4,"V",0.278141,0.298754,0.287743,0.00503525,5.8086,5.8086,7.43139,83,0,0,0.234672,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_8",110027,"Parametric","",0.2,0.4,"V",0.278832,0.298428,0.288195,0.00514538,5.71351,5.71351,7.24309,83,0,0,0.234672,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_rsp_pad_data_14",110028,"Parametric","",0.2,0.4,"V",0.278205,0.297793,0.287604,0.00504849,5.7842,5.7842,7.42108,83,0,0,0.234672,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_20",110029,"Parametric","",0.5,0.9,"V",0.751495,0.753545,0.752157,0.000322859,152.639,260.338,152.639,83,0,0,0.234672,***
"Continuity_Direct_Pos","cont_row_even_col_even_tap_rstn_pad_i",110030,"Parametric","",0.5,0.9,"V",0.751809,0.75403,0.752462,0.00034766,141.458,242.059,141.458,83,0,0,0.234672,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_12",110031,"Parametric","",0.2,0.4,"V",0.279084,0.298788,0.288296,0.00502152,5.86118,5.86118,7.41502,83,0,0,0.234672,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_24",110032,"Parametric","",0.5,0.9,"V",0.751763,0.753926,0.752371,0.000335177,146.817,250.983,146.817,83,0,0,0.234672,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_1500_shiftwr_pad_i",110033,"Parametric","",0.5,0.9,"V",0.751855,0.754018,0.752525,0.000348371,141.109,241.625,141.109,83,0,0,0.234672,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_1500_wrstn_pad_i",110034,"Parametric","",0.5,0.9,"V",0.751889,0.755816,0.752598,0.000496346,98.9915,169.638,98.9915,83,0,0,0.234672,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_12",110035,"Parametric","",0.5,0.9,"V",0.751955,0.753947,0.752582,0.000327524,150.033,257.062,150.033,83,0,0,0.234672,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_in_pad_i_12",110036,"Parametric","",0.5,0.9,"V",0.751872,0.754091,0.752564,0.000345087,142.415,243.961,142.415,83,0,0,0.234672,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_in_pad_i_1",110037,"Parametric","",0.5,0.9,"V",0.752017,0.754293,0.752656,0.00036138,135.909,233.047,135.909,83,0,0,0.234672,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_lpg2_pad_i",110038,"Parametric","",0.5,0.9,"V",0.751809,0.753973,0.752572,0.000381931,128.669,220.434,128.669,83,0,0,0.234672,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_clk_pad_i",110039,"Parametric","",0.5,0.9,"V",0.751819,0.753697,0.752534,0.000332352,147.902,253.28,147.902,83,0,0,0.234672,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_10",110040,"Parametric","",0.2,0.4,"V",0.278761,0.298463,0.288115,0.00492403,5.96494,5.96494,7.5741,83,0,0,0.234672,***
"Continuity_Direct_Pos","cont_row_even_col_even_dft_scan_scan_out_pad_o_14",110041,"Parametric","",0.2,0.4,"V",0.279027,0.299642,0.288569,0.0051283,5.75688,5.75688,7.24287,83,0,0,0.234672,***
