Device,Device ID,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"W3,1",1,1,0,"1131",7,5780,""
2,"W3,1",1,1,0,"1131",7,4003,""
3,"W4,1",1,1,0,"1580",5,32371,""
4,"W5,1",1,1,0,"1580",5,32425,""
5,"W6,1",1,1,0,"1412",5,33172,""
6,"W7,1",1,1,0,"1580",5,42033,""
7,"W8,1",1,1,0,"1580",5,25605,""
8,"W9,2",1,1,0,"1580",5,26724,""
9,"W8,2",1,1,0,"1580",5,28908,""
10,"W7,2",1,1,0,"1580",5,24901,""
11,"W6,2",1,1,0,"1580",5,32797,""
12,"W5,2",1,1,1,"2",2,128965,""
13,"W4,2",1,1,0,"1580",5,32747,""
14,"W3,2",1,1,0,"1131",7,4074,""
15,"W3,2",1,1,0,"1131",7,4039,""
16,"W2,2",1,1,0,"1580",5,26716,""
17,"W1,3",1,1,0,"1113",6,2546,""
18,"W1,3",1,1,0,"1113",6,2533,""
19,"W2,3",1,1,0,"1001",7,1193,""
20,"W2,3",1,1,0,"1001",7,1198,""
21,"W3,3",1,1,0,"1111",6,1426,""
22,"W3,3",1,1,0,"1111",6,1422,""
23,"W4,3",1,1,0,"1113",6,2544,""
24,"W4,3",1,1,0,"1113",6,2544,""
25,"W5,3",1,1,0,"1580",5,100628,""
26,"W6,3",1,1,0,"1580",5,26040,""
27,"W7,3",1,1,0,"1580",5,28840,""
28,"W8,3",1,1,0,"1580",5,24915,""
29,"W9,3",1,1,0,"1580",5,32788,""
30,"W10,3",1,1,0,"1113",6,2540,""
31,"W10,3",1,1,0,"1113",6,2539,""
32,"W10,4",1,1,0,"1580",5,28853,""
33,"W9,4",1,1,0,"1580",5,24847,""
34,"W8,4",1,1,0,"1580",5,28937,""
35,"W7,4",1,1,0,"1580",5,28897,""
36,"W6,4",1,1,0,"1580",5,28896,""
37,"W5,4",1,1,0,"1412",5,28269,""
38,"W4,4",1,1,0,"1580",5,41933,""
39,"W3,4",1,1,0,"1580",5,28860,""
40,"W2,4",1,1,0,"1580",5,25578,""
41,"W1,4",1,1,0,"1113",6,2536,""
42,"W1,4",1,1,0,"1113",6,2540,""
43,"W1,5",1,1,0,"1580",5,27212,""
44,"W2,5",1,1,0,"1580",5,28865,""
45,"W3,5",1,1,0,"1580",5,28858,""
46,"W4,5",1,1,0,"1580",5,32730,""
47,"W5,5",1,1,0,"1411",5,22768,""
48,"W6,5",1,1,0,"1580",5,26724,""
49,"W7,5",1,1,0,"1580",5,28888,""
50,"W8,5",1,1,0,"1580",5,25537,""
51,"W9,5",1,1,0,"1580",5,28193,""
52,"W10,5",1,1,0,"1580",5,28197,""
53,"W10,6",1,1,0,"1580",5,28865,""
54,"W9,6",1,1,0,"1113",6,2540,""
55,"W9,6",1,1,0,"1113",6,2531,""
56,"W8,6",1,1,0,"1580",5,28866,""
57,"W7,6",1,1,0,"1580",5,28192,""
58,"W6,6",1,1,0,"1111",6,1429,""
59,"W6,6",1,1,0,"1111",6,1424,""
60,"W5,6",1,1,0,"1580",5,32729,""
61,"W4,6",1,1,0,"1580",5,28864,""
62,"W3,6",1,1,0,"1580",5,25548,""
63,"W2,6",1,1,0,"1001",7,1193,""
64,"W2,6",1,1,0,"1001",7,1185,""
65,"W1,6",1,1,0,"1580",5,24830,""
66,"W2,7",1,1,0,"1001",7,1193,""
67,"W2,7",1,1,0,"1001",7,1185,""
68,"W3,7",1,1,0,"1131",7,4038,""
69,"W3,7",1,1,0,"1131",7,4035,""
70,"W4,7",1,1,0,"1580",5,28859,""
71,"W5,7",1,1,0,"1001",7,1187,""
72,"W5,7",1,1,0,"1001",7,1185,""
73,"W6,7",1,1,0,"1580",5,28856,""
74,"W7,7",1,1,0,"1131",7,4035,""
75,"W7,7",1,1,0,"1131",7,4032,""
76,"W8,7",1,1,0,"1580",5,26711,""
77,"W9,7",1,1,0,"1113",6,2544,""
78,"W9,7",1,1,0,"1113",6,2551,""
79,"W7,8",1,1,0,"1580",5,24851,""
80,"W6,8",1,1,0,"1580",5,26739,""
81,"W5,8",1,1,0,"1111",6,1429,""
82,"W5,8",1,1,0,"1111",6,1421,""
83,"W4,8",1,1,0,"1131",7,4060,""
84,"W4,8",1,1,0,"1131",7,4047,""
