Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Fail#,Alarm#,Time,TS Time
"Device_Power_Up","vdd_core",721101,"Parametric","",0.08,0.12,"V",0.099776,0.0998987,0.0998081,5.42798e-05,121.642,121.642,123.998,0,0,0.980375,***
"supply_short","supply_short_vcs_pll",211002,"Parametric","",-1,1,"mA",0.00913934,0.143526,0.0228321,0.0192508,16.9199,17.7106,16.9199,0,0,0.184519,***
"supply_short","supply_short_vcs_pm_1",211003,"Parametric","",-1,1,"mA",0.00921911,0.0329306,0.0198517,0.0039269,83.1994,86.5696,83.1994,0,0,0.184519,***
"supply_short","supply_short_vcs_pm_2",211004,"Parametric","",-1,1,"mA",0.0110988,0.153402,0.0239456,0.0205431,15.8375,16.6146,15.8375,0,0,0.184519,***
"supply_short","supply_short_vcsio_pll",211007,"Parametric","",-1,1,"mA",-0.0114806,0.0122296,0.00239741,0.00431554,77.055,77.4253,77.055,0,0,0.184519,***
"supply_short","supply_short_vcsio_ts",211008,"Parametric","",-1,1,"mA",-0.000361633,0.0193974,0.00890629,0.00418283,78.9812,80.4007,78.9812,0,0,0.184519,***
"supply_short","supply_short_vcsio_vs_1",211009,"Parametric","",-1,1,"mA",-0.00259207,0.0171724,0.00931368,0.00395261,83.5469,85.1178,83.5469,0,0,0.184519,***
"supply_short","supply_short_vcsio_vs_2",211010,"Parametric","",-1,1,"mA",-0.00808173,0.0156367,0.0063658,0.00436044,75.9582,76.9315,75.9582,0,0,0.184519,***
"supply_short","supply_short_vdd_io_clk",211005,"Parametric","",-1,1,"mA",0.0059932,0.0257592,0.0153585,0.00424178,77.3765,79.7904,77.3765,0,0,0.184519,***
"supply_short","supply_short_vdd_pll",211006,"Parametric","",-1,1,"mA",0.00418296,0.0239416,0.0149561,0.00452239,72.605,74.8097,72.605,0,0,0.184519,***
"supply_short","supply_short_vddio_io_clk",211011,"Parametric","",-1,1,"mA",-0.00330466,0.0164571,0.00699966,0.00373281,88.6731,89.9232,88.6731,0,0,0.184519,***
"supply_short","supply_short_vddio_pll",211012,"Parametric","",-1,1,"mA",-0.0100557,0.00968786,-0.000183928,0.00404274,82.4371,82.4371,82.4674,0,0,0.184519,***
"supply_short","supply_short_vddio_rx",211013,"Parametric","",-1,1,"mA",0.0514679,5.08428,0.277216,0.789958,0.304988,0.538938,0.304988,4,0,0.184519,***
"supply_short","supply_short_vddio_tx",211014,"Parametric","",-1,1,"mA",0.0671143,1.17278,0.172416,0.233763,1.18009,1.6718,1.18009,4,0,0.184519,***
"supply_short","supply_short_vdd_core",211001,"Parametric","",-0.1,1200,"mA",372.988,617.748,515.606,59.1459,2.90641,2.90641,3.85709,0,0,0.184519,***
