SW Bin,Desc,Site,Site%,Device#,Bin%,Good Bin,Reprobe Bin
"1580","PMBIST_Post_repair_Func_fail",1,41.3,33,41.3,1,0
"1408","PMBIST_BWE_Func_fail",1,1.3,1,1.3,1,0
"2","Medium",1,5,4,5,1,0
"1111","Continuity_DIr_Pos",1,5,4,5,1,0
"1131","IDD_static_fail",1,10,8,10,1,0
"1132","IDD_Dynamic_fail",1,2.5,2,2.5,1,0
"4","TOP ONLY",1,7.5,6,7.5,1,0
"1416","TOP_SAF4_EXTEST_LOGIC_1_Fail",1,2.5,2,2.5,1,0
"1113","Continuity_Mux_Pos",1,10,8,10,1,0
"1001","supply_short_fail",1,7.5,6,7.5,1,0
"1412","TOP_SAF4_CORE_ROW_0_7_LOGIC_Fail",1,5,4,5,1,0
"1411","TOP_SAF4_CORE_ROW_0_7_SCAN_Fail",1,2.5,2,2.5,1,0
