Device,Device ID,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"W3,1",1,1,0,"1132",7,6442,""
2,"W3,1",1,1,0,"1132",7,4522,""
3,"W4,1",1,1,0,"1580",5,150890,""
4,"W5,1",1,1,0,"1580",5,67849,""
5,"W6,1",1,1,0,"2416",5,220626,""
6,"W7,1",1,1,0,"1580",5,66454,""
7,"W8,1",1,1,1,"2",2,142284,""
8,"W9,2",1,1,0,"1580",5,123762,""
9,"W8,2",1,1,0,"1580",5,68087,""
10,"W7,2",1,1,1,"2",2,110255,""
11,"W6,2",1,1,1,"2",2,113305,""
12,"W5,2",1,1,0,"1580",5,66101,""
13,"W4,2",1,1,0,"1580",5,66765,""
14,"W3,2",1,1,0,"1580",5,109115,""
15,"W2,2",1,1,0,"1434",5,80537,""
16,"W1,3",1,1,0,"1412",5,109412,""
17,"W2,3",1,1,0,"1580",5,66671,""
18,"W3,3",1,1,1,"2",2,112064,""
19,"W4,3",1,1,0,"1412",5,58052,""
20,"W5,3",1,1,1,"2",2,113897,""
21,"W6,3",1,1,1,"2",2,106919,""
22,"W7,3",1,1,0,"1580",5,179829,""
23,"W8,3",1,1,0,"1408",5,105041,""
24,"W9,3",1,1,1,"2",2,106311,""
25,"W10,3",1,1,0,"1411",5,52725,""
26,"W10,4",1,1,0,"2411",5,108614,""
27,"W9,4",1,1,0,"1416",5,192629,""
28,"W8,4",1,1,1,"2",2,118948,""
29,"W7,4",1,1,0,"1416",5,167249,""
30,"W6,4",1,1,0,"1580",5,139363,""
31,"W5,4",1,1,0,"2412",5,150436,""
32,"W4,4",1,1,1,"2",2,120570,""
33,"W3,4",1,1,0,"1412",5,56542,""
34,"W2,4",1,1,0,"1412",5,52765,""
35,"W1,4",1,1,0,"2416",5,193354,""
36,"W1,5",1,1,0,"1001",7,1186,""
37,"W1,5",1,1,0,"1001",7,1185,""
38,"W2,5",1,1,0,"1580",5,207678,""
39,"W3,5",1,1,0,"1111",6,1448,""
40,"W3,5",1,1,0,"1111",6,1418,""
41,"W4,5",1,1,1,"3",3,130544,""
42,"W5,5",1,1,0,"1580",5,112587,""
43,"W6,5",1,1,0,"1580",5,131677,""
44,"W7,5",1,1,0,"1580",5,65943,""
45,"W8,5",1,1,0,"1580",5,198248,""
46,"W9,5",1,1,1,"2",2,110559,""
47,"W10,5",1,1,0,"1580",5,110742,""
48,"W10,6",1,1,0,"1491",5,50965,""
49,"W9,6",1,1,0,"1580",5,113452,""
50,"W8,6",1,1,1,"2",2,114157,""
51,"W7,6",1,1,0,"1411",5,52970,""
52,"W6,6",1,1,0,"1416",5,53249,""
53,"W5,6",1,1,1,"2",2,111911,""
54,"W4,6",1,1,0,"1580",5,103359,""
55,"W3,6",1,1,0,"2412",5,130918,""
56,"W2,6",1,1,0,"1113",6,2550,""
57,"W2,6",1,1,0,"1113",6,2531,""
58,"W1,6",1,1,0,"1414",5,55670,""
59,"W2,7",1,1,0,"1113",6,2531,""
60,"W2,7",1,1,0,"1113",6,2521,""
61,"W3,7",1,1,0,"1113",6,2534,""
62,"W3,7",1,1,0,"1113",6,2533,""
63,"W4,7",1,1,0,"1580",5,66800,""
64,"W5,7",1,1,0,"1580",5,108042,""
65,"W6,7",1,1,1,"2",2,112119,""
66,"W7,7",1,1,0,"1493",5,56118,""
67,"W8,7",1,1,1,"2",2,108659,""
68,"W9,7",1,1,0,"1580",5,61297,""
69,"W7,8",1,1,0,"1411",5,51457,""
70,"W6,8",1,1,0,"1580",5,107171,""
71,"W5,8",1,1,0,"1580",5,61120,""
72,"W4,8",1,1,0,"1001",7,1191,""
73,"W4,8",1,1,0,"1001",7,1191,""
