SW Bin,Desc,Site,Site%,Device#,Bin%,Good Bin,Reprobe Bin
"1132","IDD_Dynamic_fail",1,2.7,2,2.7,1,0
"1580","PMBIST_Post_repair_Func_fail",1,32.9,24,32.9,1,0
"2416","BOT_SAF4_EXTEST_LOGIC_2_Fail",1,2.7,2,2.7,1,0
"2","Medium",1,19.2,14,19.2,1,0
"1434","TOP_SAF4_COL_ROW_LOGIC_Fail",1,1.4,1,1.4,1,0
"1412","TOP_SAF4_CORE_ROW_0_7_LOGIC_Fail",1,5.5,4,5.5,1,0
"1408","PMBIST_BWE_Func_fail",1,1.4,1,1.4,1,0
"1411","TOP_SAF4_CORE_ROW_0_7_SCAN_Fail",1,4.1,3,4.1,1,0
"2411","BOT_SAF4_CORE_ROW_8_15_SCAN_Fail",1,1.4,1,1.4,1,0
"1416","TOP_SAF4_EXTEST_LOGIC_1_Fail",1,4.1,3,4.1,1,0
"2412","BOT_SAF4_CORE_ROW_8_15_LOGIC_Fail",1,2.7,2,2.7,1,0
"1001","supply_short_fail",1,5.5,4,5.5,1,0
"1111","Continuity_DIr_Pos",1,2.7,2,2.7,1,0
"3","Slow",1,1.4,1,1.4,1,0
"1491","TOP_SAF4_CTRL_DATA_TOP_SCAN_Fail",1,1.4,1,1.4,1,0
"1113","Continuity_Mux_Pos",1,8.2,6,8.2,1,0
"1414","TOP_SAF4_EXTEST_SCAN_1_Fail",1,1.4,1,1.4,1,0
"1493","TOP_SAF4_COL_ROW_SCAN_Fail",1,1.4,1,1.4,1,0
