Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Fail#,Alarm#,Time,TS Time
"Device_Power_Up","vdd_core",721101,"Parametric","",0.08,0.12,"V",0.0484795,0.0998987,0.0984328,0.00843186,0.728697,0.728697,0.852606,2,0,0.982762,***
"supply_short","supply_short_vcs_pll",211002,"Parametric","",-1,1,"mA",0.00913934,0.0289021,0.0188854,0.00406525,80.4473,83.5443,80.4473,0,0,0.18493,***
"supply_short","supply_short_vcs_pm_1",211003,"Parametric","",-1,1,"mA",0.00921911,0.0250268,0.0177726,0.00366804,89.26,92.4902,89.26,0,0,0.18493,***
"supply_short","supply_short_vcs_pm_2",211004,"Parametric","",-1,1,"mA",0.0110988,0.0308631,0.0214412,0.00425073,76.7365,80.0993,76.7365,0,0,0.18493,***
"supply_short","supply_short_vcsio_pll",211007,"Parametric","",-1,1,"mA",-0.00752886,0.00827791,0.00335183,0.00353332,94.0237,94.6561,94.0237,0,0,0.18493,***
"supply_short","supply_short_vcsio_ts",211008,"Parametric","",-1,1,"mA",-0.000361633,0.0193974,0.00927427,0.00426774,77.381,78.8297,77.381,0,0,0.18493,***
"supply_short","supply_short_vcsio_vs_1",211009,"Parametric","",-1,1,"mA",-0.00259207,0.0171724,0.00780459,0.00381356,86.7251,88.0895,86.7251,0,0,0.18493,***
"supply_short","supply_short_vcsio_vs_2",211010,"Parametric","",-1,1,"mA",-0.00412866,0.0156367,0.00523957,0.00434572,76.3019,77.1057,76.3019,0,0,0.18493,***
"supply_short","supply_short_vdd_io_clk",211005,"Parametric","",-1,1,"mA",0.0059932,0.0257592,0.0148202,0.00403583,81.3694,83.8175,81.3694,0,0,0.18493,***
"supply_short","supply_short_vdd_pll",211006,"Parametric","",-1,1,"mA",0.00813469,0.0199899,0.0150096,0.00316052,103.885,107.051,103.885,0,0,0.18493,***
"supply_short","supply_short_vddio_io_clk",211011,"Parametric","",-1,1,"mA",-0.00330466,0.0164571,0.00649499,0.00395836,83.6631,84.757,83.6631,0,0,0.18493,***
"supply_short","supply_short_vddio_pll",211012,"Parametric","",-1,1,"mA",-0.0100557,0.00968786,0.000816774,0.00388128,85.8123,85.9526,85.8123,0,0,0.18493,***
"supply_short","supply_short_vddio_rx",211013,"Parametric","",-1,1,"mA",0.0238367,0.0830463,0.0522249,0.0110606,28.563,31.7108,28.563,0,0,0.18493,***
"supply_short","supply_short_vddio_tx",211014,"Parametric","",-1,1,"mA",0.0276261,10.2156,0.339745,1.66913,0.131856,0.267554,0.131856,2,0,0.18493,***
"supply_short","supply_short_vdd_core",211001,"Parametric","",-0.1,1200,"mA",432.902,1400.28,566.712,146.656,1.28831,1.28831,1.4394,2,0,0.18493,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_0",110001,"Parametric","",0.5,0.9,"V",0.751834,0.753597,0.752371,0.000324218,151.779,259.466,151.779,0,0,0.233596,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_30",110002,"Parametric","",0.5,0.9,"V",0.751863,0.754082,0.752381,0.000378946,129.85,222.003,129.85,0,0,0.233596,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_13",110003,"Parametric","",0.5,0.9,"V",0.75121,0.753431,0.75196,0.000360463,136.898,232.996,136.898,0,0,0.233596,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_5",110004,"Parametric","",0.5,0.9,"V",0.751689,0.754535,0.752333,0.000461589,106.637,182.22,106.637,0,0,0.233596,***
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_1",110005,"Parametric","",0.5,0.9,"V",0.751789,0.753724,0.752298,0.000356024,138.288,236.219,138.288,0,0,0.233596,***
