Test Suite,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Value,Unit,P/F,Time,TS Time,Print To Data Log
"Device_Power_Up","vdd_core",721101,"",0,1,"vdd_core",1,"P1",0.099776,"V","P",1003.34,1005.43,""
"supply_short","supply_short_vcs_pll",211002,"",0,1,"vcs_pll",1,"P1",0.0170444,"mA","P",184.787,187.161,""
"supply_short","supply_short_vcs_pm_1",211003,"",0,1,"vcs_pm_1",1,"P1",0.0210749,"mA","P",0.042,187.161,""
"supply_short","supply_short_vcs_pm_2",211004,"",0,1,"vcs_pm_2",1,"P1",0.0229574,"mA","P",0.114,187.161,""
"supply_short","supply_short_vcsio_pll",211007,"",0,1,"vcsio_pll",1,"P1",0.00432622,"mA","P",0.01,187.161,""
"supply_short","supply_short_vcsio_ts",211008,"",0,1,"vcsio_ts",1,"P1",0.0114938,"mA","P",0.016,187.161,""
"supply_short","supply_short_vcsio_vs_1",211009,"",0,1,"vcsio_vs_1",1,"P1",0.00136082,"mA","P",0.054,187.161,""
"supply_short","supply_short_vcsio_vs_2",211010,"",0,1,"vcsio_vs_2",1,"P1",0.0116836,"mA","P",0.01,187.161,""
"supply_short","supply_short_vdd_io_clk",211005,"",0,1,"vdd_io_clk",1,"P1",0.0138996,"mA","P",0.008,187.161,""
"supply_short","supply_short_vdd_pll",211006,"",0,1,"vdd_pll",1,"P1",0.0199899,"mA","P",0.036,187.161,""
"supply_short","supply_short_vddio_io_clk",211011,"",0,1,"vddio_io_clk",1,"P1",0.00855237,"mA","P",0.03,187.161,""
"supply_short","supply_short_vddio_pll",211012,"",0,1,"vddio_pll",1,"P1",-0.00215828,"mA","P",0.029,187.161,""
"supply_short","supply_short_vddio_rx",211013,"",0,1,"vddio_rx",1,"P1",0.118572,"mA","P",0.032,187.161,""
"supply_short","supply_short_vddio_tx",211014,"",0,1,"vddio_tx",1,"P1",0.106603,"mA","P",0.03,187.161,""
"supply_short","supply_short_vdd_core",211001,"",0,1,"vdd_core",1,"P1",602.375,"mA","P",0.029,187.161,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_0",110001,"_rdi_burst_Continuity_Direct_Neg_md5_17fea4e10462e9791e1afedf7912561a",0,1,"io_req_pad_size_0",0,"",0.752971,"V","P",395.247,440.076,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_30",110002,"_rdi_burst_Continuity_Direct_Neg_md5_17fea4e10462e9791e1afedf7912561a",0,1,"io_req_pad_data_30",0,"",0.752945,"V","P",0.116,440.076,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_data_13",110003,"_rdi_burst_Continuity_Direct_Neg_md5_17fea4e10462e9791e1afedf7912561a",0,1,"io_req_pad_data_13",0,"",0.752349,"V","P",0.01,440.076,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_addr_5",110004,"_rdi_burst_Continuity_Direct_Neg_md5_17fea4e10462e9791e1afedf7912561a",0,1,"io_req_pad_addr_5",0,"",0.752657,"V","P",0.006,440.076,""
"Continuity_Direct_Pos","cont_row_even_col_even_io_req_pad_size_1",110005,"_rdi_burst_Continuity_Direct_Neg_md5_17fea4e10462e9791e1afedf7912561a",0,1,"io_req_pad_size_1",0,"",0.752871,"V","P",0.86,440.076,""
