Test Suite,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Value,Unit,P/F,Time,TS Time,Print To Data Log
"Device_Power_Up","vdd_core",721101,"",0,1,"vdd_core",1,"P1",0.064555,"V","F",1002.75,1004.31,""
"supply_short","supply_short_vcs_pll",211002,"",0,1,"vcs_pll",1,"P1",0.0244115,"mA","P",190.204,193.26,""
"supply_short","supply_short_vcs_pm_1",211003,"",0,1,"vcs_pm_1",1,"P1",0.0300938,"mA","P",0.014,193.26,""
"supply_short","supply_short_vcs_pm_2",211004,"",0,1,"vcs_pm_2",1,"P1",0.0347838,"mA","P",0.006,193.26,""
"supply_short","supply_short_vcsio_pll",211007,"",0,1,"vcsio_pll",1,"P1",0.00484303,"mA","P",0.009,193.26,""
"supply_short","supply_short_vcsio_ts",211008,"",0,1,"vcsio_ts",1,"P1",0.00857382,"mA","P",0.509,193.26,""
"supply_short","supply_short_vcsio_vs_1",211009,"",0,1,"vcsio_vs_1",1,"P1",0.00983784,"mA","P",0.012,193.26,""
"supply_short","supply_short_vcsio_vs_2",211010,"",0,1,"vcsio_vs_2",1,"P1",0.00215676,"mA","P",0.008,193.26,""
"supply_short","supply_short_vdd_io_clk",211005,"",0,1,"vdd_io_clk",1,"P1",0.0322277,"mA","P",0.009,193.26,""
"supply_short","supply_short_vdd_pll",211006,"",0,1,"vdd_pll",1,"P1",0.027863,"mA","P",0.01,193.26,""
"supply_short","supply_short_vddio_io_clk",211011,"",0,1,"vddio_io_clk",1,"P1",0.0124931,"mA","P",0.006,193.26,""
"supply_short","supply_short_vddio_pll",211012,"",0,1,"vddio_pll",1,"P1",-0.00452724,"mA","P",0.006,193.26,""
"supply_short","supply_short_vddio_rx",211013,"",0,1,"vddio_rx",1,"P1",0.172326,"mA","P",0.007,193.26,""
"supply_short","supply_short_vddio_tx",211014,"",0,1,"vddio_tx",1,"P1",0.152579,"mA","P",0.007,193.26,""
"supply_short","supply_short_vdd_core",211001,"",0,1,"vdd_core",1,"P1",1032.68,"mA","F",0.011,193.26,""
"supply_short_HT","supply_short_HT_vcs_pll",221102,"_rdi_burst_chip_tdf4_core_row15_misr_opcg3p_logic_5_370_104_md5_2a33819c1f6b6bd98aac1ad9a39787c7",0,1,"vcs_pll",0,"",0.0244115,"mA","P",199.924,239.412,""
"supply_short_HT","supply_short_HT_vcs_pm_1",221103,"_rdi_burst_chip_tdf4_core_row15_misr_opcg3p_logic_5_370_104_md5_2a33819c1f6b6bd98aac1ad9a39787c7",0,1,"vcs_pm_1",0,"",0.0221898,"mA","P",0.038,239.412,""
"supply_short_HT","supply_short_HT_vcs_pm_2",221104,"_rdi_burst_chip_tdf4_core_row15_misr_opcg3p_logic_5_370_104_md5_2a33819c1f6b6bd98aac1ad9a39787c7",0,1,"vcs_pm_2",0,"",0.0426896,"mA","P",0.033,239.412,""
"supply_short_HT","supply_short_HT_vcsio_pll",221107,"_rdi_burst_chip_tdf4_core_row15_misr_opcg3p_logic_5_370_104_md5_2a33819c1f6b6bd98aac1ad9a39787c7",0,1,"vcsio_pll",0,"",0.00879464,"mA","P",0.033,239.412,""
"supply_short_HT","supply_short_HT_vcsio_ts",221108,"_rdi_burst_chip_tdf4_core_row15_misr_opcg3p_logic_5_370_104_md5_2a33819c1f6b6bd98aac1ad9a39787c7",0,1,"vcsio_ts",0,"",0.00462194,"mA","P",0.033,239.412,""
"supply_short_HT","supply_short_HT_vcsio_vs_1",221109,"_rdi_burst_chip_tdf4_core_row15_misr_opcg3p_logic_5_370_104_md5_2a33819c1f6b6bd98aac1ad9a39787c7",0,1,"vcsio_vs_1",0,"",0.0137908,"mA","P",0.173,239.412,""
"supply_short_HT","supply_short_HT_vcsio_vs_2",221110,"_rdi_burst_chip_tdf4_core_row15_misr_opcg3p_logic_5_370_104_md5_2a33819c1f6b6bd98aac1ad9a39787c7",0,1,"vcsio_vs_2",0,"",0.00215676,"mA","P",0.011,239.412,""
"supply_short_HT","supply_short_HT_vdd_io_clk",221105,"_rdi_burst_chip_tdf4_core_row15_misr_opcg3p_logic_5_370_104_md5_2a33819c1f6b6bd98aac1ad9a39787c7",0,1,"vdd_io_clk",0,"",0.0440871,"mA","P",0.007,239.412,""
"supply_short_HT","supply_short_HT_vdd_pll",221106,"_rdi_burst_chip_tdf4_core_row15_misr_opcg3p_logic_5_370_104_md5_2a33819c1f6b6bd98aac1ad9a39787c7",0,1,"vdd_pll",0,"",0.0239114,"mA","P",0.009,239.412,""
"supply_short_HT","supply_short_HT_vddio_io_clk",221111,"_rdi_burst_chip_tdf4_core_row15_misr_opcg3p_logic_5_370_104_md5_2a33819c1f6b6bd98aac1ad9a39787c7",0,1,"vddio_io_clk",0,"",0.00458819,"mA","P",0.008,239.412,""
"supply_short_HT","supply_short_HT_vddio_pll",221112,"_rdi_burst_chip_tdf4_core_row15_misr_opcg3p_logic_5_370_104_md5_2a33819c1f6b6bd98aac1ad9a39787c7",0,1,"vddio_pll",0,"",-0.0124247,"mA","P",0.007,239.412,""
"supply_short_HT","supply_short_HT_vddio_rx",221113,"_rdi_burst_chip_tdf4_core_row15_misr_opcg3p_logic_5_370_104_md5_2a33819c1f6b6bd98aac1ad9a39787c7",0,1,"vddio_rx",0,"",0.184168,"mA","P",0.127,239.412,""
"supply_short_HT","supply_short_HT_vddio_tx",221114,"_rdi_burst_chip_tdf4_core_row15_misr_opcg3p_logic_5_370_104_md5_2a33819c1f6b6bd98aac1ad9a39787c7",0,1,"vddio_tx",0,"",0.152579,"mA","P",0.009,239.412,""
"supply_short_HT","supply_short_HT_vdd_core",221101,"_rdi_burst_chip_tdf4_core_row15_misr_opcg3p_logic_5_370_104_md5_2a33819c1f6b6bd98aac1ad9a39787c7",0,1,"vdd_core",0,"",0.0385817,"mA","P",0.007,239.412,""
