SW Bin,Desc,Site,Site%,Device#,Bin%,Good Bin,Reprobe Bin
"1001","supply_short_fail",1,50,1,50,0,0
"N/A","N/A",1,50,1,50,1,0
"100","bdid fail",0,***,0,0,0,0
"1011","supply_short_fail",0,***,0,0,0,0
"1111","Continuity_DIr_Pos",0,***,0,0,0,0
"1112","Continuity_Dir_Neg",0,***,0,0,0,0
"1113","Continuity_Mux_Pos",0,***,0,0,0,0
"1114","Continuity_Mux_Neg",0,***,0,0,0,0
"1121","InLeakage_fail",0,***,0,0,0,0
"1122","InLeakage_fail",0,***,0,0,0,0
"1123","InLeakage_fail",0,***,0,0,0,0
"1124","InLeakage_fail",0,***,0,0,0,0
"1131","IDD_static_fail",0,***,0,0,0,0
"1132","IDD_Dynamic_fail",0,***,0,0,0,0
"1141","Power up fail",0,***,0,0,0,0
"1142","Power down fail",0,***,0,0,0,0
"1145","Cold_Boot_fail",0,***,0,0,0,0
"1151","TSENSE_fail",0,***,0,0,0,0
"1181","DC Profiling",0,***,0,0,0,0
"1402","PMBIST_Pre_Func_fail",0,***,0,0,0,0
"1405","Chip_efuse_fail",0,***,0,0,0,0
"1406","Machine_init_fail",0,***,0,0,0,0
"1407","PMBIST_POST_BURN_fail",0,***,0,0,0,0
"1408","PMBIST_BWE_Func_fail",0,***,0,0,0,0
"1409","JTAG_READ_fail",0,***,0,0,0,0
"1411","TOP_SAF4_CORE_ROW_0_7_SCAN_Fail",0,***,0,0,0,0
"1412","TOP_SAF4_CORE_ROW_0_7_LOGIC_Fail",0,***,0,0,0,0
"1413","TOP_SAF4_EXT_IF_SCAN_Fail",0,***,0,0,0,0
"1414","TOP_SAF4_EXTEST_SCAN_1_Fail",0,***,0,0,0,0
"1415","TOP_SAF4_EXT_IF_LOGIC_Fail",0,***,0,0,0,0
"1416","TOP_SAF4_EXTEST_LOGIC_1_Fail",0,***,0,0,0,0
"1417","Machine_init_fail",0,***,0,0,0,0
"1421","TOP_TDF4_OPCG2P_CORE_ROW_0_7_SCAN_Fail",0,***,0,0,0,0
"1422","TOP_TDF4_OPCG2P_CORE_ROW_0_7_LOGIC_Fail",0,***,0,0,0,0
"1423","TOP_TDF4_OPCG3P_CORE_ROW_0_7_SCAN_Fail",0,***,0,0,0,0
"1424","TOP_TDF4_OPCG3P_CORE_ROW_0_7_LOGIC_Fail",0,***,0,0,0,0
"1425","TOP_TDF4_OPCG_EXT_IF_SCAN_Fail",0,***,0,0,0,0
"1426","TOP_TDF4_OPCG_EXTEST_SCAN_1_Fail",0,***,0,0,0,0
"1427","TOP_TDF4_OPCG_EXT_IF_LOGIC_Fail",0,***,0,0,0,0
"1428","TOP_TDF4_OPCG_EXTEST_LOGIC_1_Fail",0,***,0,0,0,0
"1431","PDF4_Func_fail",0,***,0,0,0,0
"1432","TOP_SAF4_CTRL_DATA_TOP_LOGIC_Fail",0,***,0,0,0,0
"1433","TOP_SAF4_COL0_LOGIC_Fail",0,***,0,0,0,0
"1434","TOP_SAF4_COL_ROW_LOGIC_Fail",0,***,0,0,0,0
"1441","TOP_SAF4_EXTEST_LOGIC_0000fce_Fail",0,***,0,0,0,0
"1451","TOP_TDF4_OPCG2P_CTRL_DATA_TOP_SCAN_Fail",0,***,0,0,0,0
"1452","TOP_TDF4_OPCG2P_COL0_SCAN_Fail",0,***,0,0,0,0
"1453","TOP_TDF4_OPCG2P_COL_ROW_SCAN_Fail",0,***,0,0,0,0
"1461","TOP_TDF4_OPCG2P_CTRL_DATA_TOP_LOGIC_Fail",0,***,0,0,0,0
"1462","TOP_TDF4_OPCG2P_COL0_LOGIC_Fail",0,***,0,0,0,0
"1463","TOP_TDF4_OPCG2P_COL_ROW_LOGIC_Fail",0,***,0,0,0,0
"1470","PMBIST_soft_repair_fail",0,***,0,0,0,0
"1471","TOP_TDF4_OPCG3P_CTRL_DATA_TOP_SCAN_Fail",0,***,0,0,0,0
"1472","PMBIST_soft_repair_fail",0,***,0,0,0,0
"1473","TOP_TDF4_OPCG3P_COL_ROW_SCAN_Fail",0,***,0,0,0,0
"1474","PMBIST_soft_repair_fail",0,***,0,0,0,0
"1475","TOP_TDF4_OPCG3P_COL0_SCAN_Fail",0,***,0,0,0,0
"1476","PMBIST_soft_repair_fail",0,***,0,0,0,0
