Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Fail#,Alarm#,Time,TS Time
"vdd_core",721101,"Parametric","",0.08,0.12,"V",0.064555,0.064555,0.064555,0,***,***,***,1,0,1002.75,1004.31
"supply_short_vcs_pll",211002,"Parametric","",-1,1,"mA",0.0244115,0.0244115,0.0244115,0,***,***,***,0,0,190.204,193.26
"supply_short_vcs_pm_1",211003,"Parametric","",-1,1,"mA",0.0300938,0.0300938,0.0300938,0,***,***,***,0,0,0.014,193.26
"supply_short_vcs_pm_2",211004,"Parametric","",-1,1,"mA",0.0347838,0.0347838,0.0347838,0,***,***,***,0,0,0.006,193.26
"supply_short_vcsio_pll",211007,"Parametric","",-1,1,"mA",0.00484303,0.00484303,0.00484303,0,***,***,***,0,0,0.009,193.26
"supply_short_vcsio_ts",211008,"Parametric","",-1,1,"mA",0.00857382,0.00857382,0.00857382,0,***,***,***,0,0,0.509,193.26
"supply_short_vcsio_vs_1",211009,"Parametric","",-1,1,"mA",0.00983784,0.00983784,0.00983784,0,***,***,***,0,0,0.012,193.26
"supply_short_vcsio_vs_2",211010,"Parametric","",-1,1,"mA",0.00215676,0.00215676,0.00215676,0,***,***,***,0,0,0.008,193.26
"supply_short_vdd_io_clk",211005,"Parametric","",-1,1,"mA",0.0322277,0.0322277,0.0322277,0,***,***,***,0,0,0.009,193.26
"supply_short_vdd_pll",211006,"Parametric","",-1,1,"mA",0.027863,0.027863,0.027863,0,***,***,***,0,0,0.01,193.26
"supply_short_vddio_io_clk",211011,"Parametric","",-1,1,"mA",0.0124931,0.0124931,0.0124931,0,***,***,***,0,0,0.006,193.26
"supply_short_vddio_pll",211012,"Parametric","",-1,1,"mA",-0.00452724,-0.00452724,-0.00452724,0,***,***,***,0,0,0.006,193.26
"supply_short_vddio_rx",211013,"Parametric","",-1,1,"mA",0.172326,0.172326,0.172326,0,***,***,***,0,0,0.007,193.26
"supply_short_vddio_tx",211014,"Parametric","",-1,1,"mA",0.152579,0.152579,0.152579,0,***,***,***,0,0,0.007,193.26
"supply_short_vdd_core",211001,"Parametric","",-0.1,1000,"mA",1032.68,1032.68,1032.68,0,***,***,***,1,0,0.011,193.26
"supply_short_HT_vcs_pll",221102,"Parametric","_rdi_burst_chip_tdf4_core_row15_misr_opcg3p_logic_5_370_104_md5_2a33819c1f6b6bd98aac1ad9a39787c7",-1,1,"mA",0.0244115,0.0244115,0.0244115,0,***,***,***,0,0,199.924,239.412
"supply_short_HT_vcs_pm_1",221103,"Parametric","_rdi_burst_chip_tdf4_core_row15_misr_opcg3p_logic_5_370_104_md5_2a33819c1f6b6bd98aac1ad9a39787c7",-1,1,"mA",0.0221898,0.0221898,0.0221898,0,***,***,***,0,0,0.038,239.412
"supply_short_HT_vcs_pm_2",221104,"Parametric","_rdi_burst_chip_tdf4_core_row15_misr_opcg3p_logic_5_370_104_md5_2a33819c1f6b6bd98aac1ad9a39787c7",-1,1,"mA",0.0426896,0.0426896,0.0426896,0,***,***,***,0,0,0.033,239.412
"supply_short_HT_vcsio_pll",221107,"Parametric","_rdi_burst_chip_tdf4_core_row15_misr_opcg3p_logic_5_370_104_md5_2a33819c1f6b6bd98aac1ad9a39787c7",-1,1,"mA",0.00879464,0.00879464,0.00879464,0,***,***,***,0,0,0.033,239.412
"supply_short_HT_vcsio_ts",221108,"Parametric","_rdi_burst_chip_tdf4_core_row15_misr_opcg3p_logic_5_370_104_md5_2a33819c1f6b6bd98aac1ad9a39787c7",-1,1,"mA",0.00462194,0.00462194,0.00462194,0,***,***,***,0,0,0.033,239.412
"supply_short_HT_vcsio_vs_1",221109,"Parametric","_rdi_burst_chip_tdf4_core_row15_misr_opcg3p_logic_5_370_104_md5_2a33819c1f6b6bd98aac1ad9a39787c7",-1,1,"mA",0.0137908,0.0137908,0.0137908,0,***,***,***,0,0,0.173,239.412
"supply_short_HT_vcsio_vs_2",221110,"Parametric","_rdi_burst_chip_tdf4_core_row15_misr_opcg3p_logic_5_370_104_md5_2a33819c1f6b6bd98aac1ad9a39787c7",-1,1,"mA",0.00215676,0.00215676,0.00215676,0,***,***,***,0,0,0.011,239.412
"supply_short_HT_vdd_io_clk",221105,"Parametric","_rdi_burst_chip_tdf4_core_row15_misr_opcg3p_logic_5_370_104_md5_2a33819c1f6b6bd98aac1ad9a39787c7",-1,1,"mA",0.0440871,0.0440871,0.0440871,0,***,***,***,0,0,0.007,239.412
"supply_short_HT_vdd_pll",221106,"Parametric","_rdi_burst_chip_tdf4_core_row15_misr_opcg3p_logic_5_370_104_md5_2a33819c1f6b6bd98aac1ad9a39787c7",-1,1,"mA",0.0239114,0.0239114,0.0239114,0,***,***,***,0,0,0.009,239.412
"supply_short_HT_vddio_io_clk",221111,"Parametric","_rdi_burst_chip_tdf4_core_row15_misr_opcg3p_logic_5_370_104_md5_2a33819c1f6b6bd98aac1ad9a39787c7",-1,1,"mA",0.00458819,0.00458819,0.00458819,0,***,***,***,0,0,0.008,239.412
"supply_short_HT_vddio_pll",221112,"Parametric","_rdi_burst_chip_tdf4_core_row15_misr_opcg3p_logic_5_370_104_md5_2a33819c1f6b6bd98aac1ad9a39787c7",-1,1,"mA",-0.0124247,-0.0124247,-0.0124247,0,***,***,***,0,0,0.007,239.412
"supply_short_HT_vddio_rx",221113,"Parametric","_rdi_burst_chip_tdf4_core_row15_misr_opcg3p_logic_5_370_104_md5_2a33819c1f6b6bd98aac1ad9a39787c7",-1,1,"mA",0.184168,0.184168,0.184168,0,***,***,***,0,0,0.127,239.412
"supply_short_HT_vddio_tx",221114,"Parametric","_rdi_burst_chip_tdf4_core_row15_misr_opcg3p_logic_5_370_104_md5_2a33819c1f6b6bd98aac1ad9a39787c7",-1,1,"mA",0.152579,0.152579,0.152579,0,***,***,***,0,0,0.009,239.412
"supply_short_HT_vdd_core",221101,"Parametric","_rdi_burst_chip_tdf4_core_row15_misr_opcg3p_logic_5_370_104_md5_2a33819c1f6b6bd98aac1ad9a39787c7",-1,7000,"mA",0.0385817,0.0385817,0.0385817,0,***,***,***,0,0,0.007,239.412
"cont_row_even_col_even_io_req_pad_size_0",110001,"Parametric","",0.2,0.9,"V",0.753112,0.753112,0.753112,0,***,***,***,0,0,401.193,412.66
"cont_row_even_col_even_io_req_pad_data_30",110002,"Parametric","",0.5,0.9,"V",0.753199,0.753199,0.753199,0,***,***,***,0,0,0.036,412.66
"cont_row_even_col_even_io_req_pad_data_13",110003,"Parametric","",0.5,0.9,"V",0.753087,0.753087,0.753087,0,***,***,***,0,0,0.1,412.66
"cont_row_even_col_even_io_req_pad_addr_5",110004,"Parametric","",0.5,0.9,"V",0.753376,0.753376,0.753376,0,***,***,***,0,0,0.011,412.66
"cont_row_even_col_even_io_req_pad_size_1",110005,"Parametric","",0.5,0.9,"V",0.753182,0.753182,0.753182,0,***,***,***,0,0,0.009,412.66
"cont_row_even_col_even_io_req_pad_addr_9",110006,"Parametric","",0.5,0.9,"V",0.753382,0.753382,0.753382,0,***,***,***,0,0,0.03,412.66
"cont_row_even_col_even_dft_scan_scan_out_pad_o_4",110007,"Parametric","",0.2,0.4,"V",0.281885,0.281885,0.281885,0,***,***,***,0,0,0.035,412.66
"cont_row_even_col_even_io_req_pad_data_8",110008,"Parametric","",0.5,0.9,"V",0.753245,0.753245,0.753245,0,***,***,***,0,0,0.031,412.66
"cont_row_even_col_even_io_req_pad_data_4",110009,"Parametric","",0.5,0.9,"V",0.753348,0.753348,0.753348,0,***,***,***,0,0,0.031,412.66
"cont_row_even_col_even_io_rsp_pad_data_30",110010,"Parametric","",0.2,0.4,"V",0.281763,0.281763,0.281763,0,***,***,***,0,0,0.036,412.66
"cont_row_even_col_even_io_rsp_pad_data_26",110011,"Parametric","",0.2,0.4,"V",0.281587,0.281587,0.281587,0,***,***,***,0,0,0.031,412.66
"cont_row_even_col_even_io_req_pad_data_18",110012,"Parametric","",0.5,0.9,"V",0.753125,0.753125,0.753125,0,***,***,***,0,0,0.032,412.66
"cont_row_even_col_even_io_req_pad_addr_8",110013,"Parametric","",0.5,0.9,"V",0.753433,0.753433,0.753433,0,***,***,***,0,0,0.04,412.66
"cont_row_even_col_even_io_req_pad_addr_4",110014,"Parametric","",0.5,0.9,"V",0.75303,0.75303,0.75303,0,***,***,***,0,0,0.03,412.66
"cont_row_even_col_even_io_rsp_pad_data_21",110015,"Parametric","",0.2,0.4,"V",0.28224,0.28224,0.28224,0,***,***,***,0,0,0.032,412.66
"cont_row_even_col_even_io_req_pad_data_1",110016,"Parametric","",0.5,0.9,"V",0.753309,0.753309,0.753309,0,***,***,***,0,0,0.03,412.66
"cont_row_even_col_even_tap_tck_pad_i",110017,"Parametric","",0.5,0.9,"V",0.753479,0.753479,0.753479,0,***,***,***,0,0,0.031,412.66
"cont_row_even_col_even_io_rsp_pad_size_1",110018,"Parametric","",0.2,0.4,"V",0.283606,0.283606,0.283606,0,***,***,***,0,0,0.032,412.66
"cont_row_even_col_even_tap_tdi_pad_i",110019,"Parametric","",0.5,0.9,"V",0.753405,0.753405,0.753405,0,***,***,***,0,0,0.031,412.66
"cont_row_even_col_even_dft_scan_scan_out_pad_o_2",110020,"Parametric","",0.2,0.4,"V",0.281903,0.281903,0.281903,0,***,***,***,0,0,0.031,412.66
"cont_row_even_col_even_io_rsp_pad_addr_valid",110021,"Parametric","",0.2,0.4,"V",0.282264,0.282264,0.282264,0,***,***,***,0,0,0.031,412.66
"cont_row_even_col_even_io_rsp_pad_data_7",110022,"Parametric","",0.2,0.4,"V",0.283256,0.283256,0.283256,0,***,***,***,0,0,0.034,412.66
"cont_row_even_col_even_io_req_pad_addr_2",110023,"Parametric","",0.5,0.9,"V",0.753121,0.753121,0.753121,0,***,***,***,0,0,0.036,412.66
"cont_row_even_col_even_io_req_pad_addr_15",110024,"Parametric","",0.5,0.9,"V",0.75332,0.75332,0.75332,0,***,***,***,0,0,0.033,412.66
"cont_row_even_col_even_pmon_d_clk0_pad_o",110025,"Parametric","",0.2,0.4,"V",0.282565,0.282565,0.282565,0,***,***,***,0,0,0.035,412.66
"cont_row_even_col_even_io_rsp_pad_data_18",110026,"Parametric","",0.2,0.4,"V",0.281662,0.281662,0.281662,0,***,***,***,0,0,0.041,412.66
"cont_row_even_col_even_dft_scan_scan_out_pad_o_8",110027,"Parametric","",0.2,0.4,"V",0.283442,0.283442,0.283442,0,***,***,***,0,0,0.037,412.66
"cont_row_even_col_even_io_rsp_pad_data_14",110028,"Parametric","",0.2,0.4,"V",0.281327,0.281327,0.281327,0,***,***,***,0,0,0.033,412.66
"cont_row_even_col_even_io_req_pad_data_20",110029,"Parametric","",0.5,0.9,"V",0.75303,0.75303,0.75303,0,***,***,***,0,0,0.034,412.66
"cont_row_even_col_even_tap_rstn_pad_i",110030,"Parametric","",0.5,0.9,"V",0.753383,0.753383,0.753383,0,***,***,***,0,0,0.035,412.66
"cont_row_even_col_even_dft_scan_scan_out_pad_o_12",110031,"Parametric","",0.2,0.4,"V",0.28363,0.28363,0.28363,0,***,***,***,0,0,0.037,412.66
"cont_row_even_col_even_io_req_pad_addr_24",110032,"Parametric","",0.5,0.9,"V",0.753337,0.753337,0.753337,0,***,***,***,0,0,0.062,412.66
"cont_row_even_col_even_dft_1500_shiftwr_pad_i",110033,"Parametric","",0.5,0.9,"V",0.753275,0.753275,0.753275,0,***,***,***,0,0,0.01,412.66
"cont_row_even_col_even_dft_1500_wrstn_pad_i",110034,"Parametric","",0.5,0.9,"V",0.753576,0.753576,0.753576,0,***,***,***,0,0,1.789,412.66
"cont_row_even_col_even_io_req_pad_addr_12",110035,"Parametric","",0.5,0.9,"V",0.753707,0.753707,0.753707,0,***,***,***,0,0,0.011,412.66
"cont_row_even_col_even_dft_scan_scan_in_pad_i_12",110036,"Parametric","",0.5,0.9,"V",0.753445,0.753445,0.753445,0,***,***,***,0,0,0.44,412.66
"cont_row_even_col_even_dft_scan_scan_in_pad_i_1",110037,"Parametric","",0.5,0.9,"V",0.753353,0.753353,0.753353,0,***,***,***,0,0,0.02,412.66
"cont_row_even_col_even_dft_scan_lpg2_pad_i",110038,"Parametric","",0.5,0.9,"V",0.753401,0.753401,0.753401,0,***,***,***,0,0,0.006,412.66
"cont_row_even_col_even_io_clk_pad_i",110039,"Parametric","",0.5,0.9,"V",0.753422,0.753422,0.753422,0,***,***,***,0,0,0.007,412.66
"cont_row_even_col_even_dft_scan_scan_out_pad_o_10",110040,"Parametric","",0.2,0.4,"V",0.283421,0.283421,0.283421,0,***,***,***,0,0,0.01,412.66
"cont_row_even_col_even_dft_scan_scan_out_pad_o_14",110041,"Parametric","",0.2,0.4,"V",0.283915,0.283915,0.283915,0,***,***,***,0,0,0.008,412.66
"cont_row_even_col_even_io_req_pad_data_27",110042,"Parametric","",0.5,0.9,"V",0.753044,0.753044,0.753044,0,***,***,***,0,0,0.007,412.66
"cont_row_even_col_even_dft_1500_selectwr_pad_i",110043,"Parametric","",0.5,0.9,"V",0.75373,0.75373,0.75373,0,***,***,***,0,0,0.006,412.66
"cont_row_even_col_even_dft_pmbist_pmbist_mode_pad_i",110044,"Parametric","",0.5,0.9,"V",0.753597,0.753597,0.753597,0,***,***,***,0,0,0.006,412.66
"cont_row_even_col_even_dft_scan_scan_in_pad_i_11",110045,"Parametric","",0.5,0.9,"V",0.753593,0.753593,0.753593,0,***,***,***,0,0,0.006,412.66
"cont_row_even_col_even_io_req_pad_addr_21",110046,"Parametric","",0.5,0.9,"V",0.753633,0.753633,0.753633,0,***,***,***,0,0,0.006,412.66
"cont_row_even_col_even_dft_scan_scan_in_pad_i_0",110047,"Parametric","",0.5,0.9,"V",0.753355,0.753355,0.753355,0,***,***,***,0,0,0.086,412.66
"cont_row_even_col_even_dft_scan_ss1_pad_i",110048,"Parametric","",0.5,0.9,"V",0.753593,0.753593,0.753593,0,***,***,***,0,0,0.011,412.66
"cont_row_even_col_even_io_ddr_enable_pad_i",110049,"Parametric","",0.5,0.9,"V",0.753497,0.753497,0.753497,0,***,***,***,0,0,0.006,412.66
"cont_row_even_col_even_io_rsp_pad_data_3",110050,"Parametric","",0.2,0.4,"V",0.28267,0.28267,0.28267,0,***,***,***,0,0,0.006,412.66
"cont_row_even_col_even_int_data_pad_4",110051,"Parametric","",0.2,0.4,"V",0.283068,0.283068,0.283068,0,***,***,***,0,0,0.007,412.66
"cont_row_even_col_even_int_data_pad_2",110052,"Parametric","",0.2,0.4,"V",0.282561,0.282561,0.282561,0,***,***,***,0,0,0.006,412.66
"cont_row_even_col_even_io_rsp_pad_data_19",110053,"Parametric","",0.2,0.4,"V",0.281695,0.281695,0.281695,0,***,***,***,0,0,0.007,412.66
"cont_row_even_col_even_io_rsp_pad_data_23",110054,"Parametric","",0.2,0.4,"V",0.281593,0.281593,0.281593,0,***,***,***,0,0,0.006,412.66
"cont_row_even_col_even_dft_pmbist_pmda_tck_pad_i",110055,"Parametric","",0.5,0.9,"V",0.753648,0.753648,0.753648,0,***,***,***,0,0,0.005,412.66
"cont_row_even_col_even_global_chip_reset_pad_i",110056,"Parametric","",0.5,0.9,"V",0.753611,0.753611,0.753611,0,***,***,***,0,0,0.046,412.66
"cont_row_even_col_even_pll_d_clk_pad_o",110057,"Parametric","",0.2,0.4,"V",0.281848,0.281848,0.281848,0,***,***,***,0,0,0.006,412.66
"cont_row_even_col_even_dft_pmbist_pmda_ovfl_pad_o",110058,"Parametric","",0.2,0.4,"V",0.282897,0.282897,0.282897,0,***,***,***,0,0,0.006,412.66
"cont_row_even_col_even_dft_scan_scan_out_pad_o_7",110059,"Parametric","",0.2,0.4,"V",0.281416,0.281416,0.281416,0,***,***,***,0,0,0.024,412.66
"cont_row_even_col_even_dft_scan_scan_out_pad_o_3",110060,"Parametric","",0.2,0.4,"V",0.28188,0.28188,0.28188,0,***,***,***,0,0,0.013,412.66
"cont_row_even_col_even_dft_pmbist_pmda_tdo_pad_o",110061,"Parametric","",0.2,0.4,"V",0.281985,0.281985,0.281985,0,***,***,***,0,0,0.007,412.66
"cont_row_even_col_even_io_req_pad_data_14",110062,"Parametric","",0.5,0.9,"V",0.753443,0.753443,0.753443,0,***,***,***,0,0,0.007,412.66
"cont_row_even_col_even_dft_scan_scan_in_pad_i_4",110063,"Parametric","",0.5,0.9,"V",0.753843,0.753843,0.753843,0,***,***,***,0,0,0.006,412.66
"cont_row_even_col_even_dft_scan_cmle_pad_i",110064,"Parametric","",0.5,0.9,"V",0.753517,0.753517,0.753517,0,***,***,***,0,0,0.006,412.66
"cont_row_even_col_even_reserved_in_pad_i_0",110065,"Parametric","",0.5,0.9,"V",0.753671,0.753671,0.753671,0,***,***,***,0,0,0.006,412.66
"cont_row_even_col_even_dft_opcg_trigger_pad_i",110066,"Parametric","",0.5,0.9,"V",0.753429,0.753429,0.753429,0,***,***,***,0,0,0.006,412.66
"cont_row_even_col_even_dft_scan_scan_out_pad_o_15",110067,"Parametric","",0.2,0.4,"V",0.283954,0.283954,0.283954,0,***,***,***,0,0,0.006,412.66
"cont_row_even_col_even_machine_init_done_pad_o",110068,"Parametric","",0.2,0.4,"V",0.282139,0.282139,0.282139,0,***,***,***,0,0,0.007,412.66
"cont_row_even_col_even_pll_a_out_pad_ao",110069,"Parametric","",0.5,0.9,"V",0.748339,0.748339,0.748339,0,***,***,***,0,0,0.007,412.66
"cont_row_even_col_even_io_req_pad_data_valid",110070,"Parametric","",0.5,0.9,"V",0.75326,0.75326,0.75326,0,***,***,***,0,0,0.006,412.66
"cont_row_even_col_even_pllset_pad_i_3",110071,"Parametric","",0.5,0.9,"V",0.753315,0.753315,0.753315,0,***,***,***,0,0,0.006,412.66
"cont_row_even_col_even_vsen_test0_pad_o",110072,"Parametric","",0.2,0.4,"V",0.281648,0.281648,0.281648,0,***,***,***,0,0,0.006,412.66
"cont_row_even_col_even_drive_pad_i_0",110073,"Parametric","",0.5,0.9,"V",0.753357,0.753357,0.753357,0,***,***,***,0,0,0.006,412.66
"cont_row_even_col_odd_io_rsp_pad_rsp_type",111001,"Parametric","",0.2,0.4,"V",0.283214,0.283214,0.283214,0,***,***,***,0,0,0.007,412.66
"cont_row_even_col_odd_io_req_pad_data_25",111002,"Parametric","",0.5,0.9,"V",0.753035,0.753035,0.753035,0,***,***,***,0,0,0.006,412.66
"cont_row_even_col_odd_io_req_pad_addr_valid",111003,"Parametric","",0.5,0.9,"V",0.753032,0.753032,0.753032,0,***,***,***,0,0,0.006,412.66
"cont_row_even_col_odd_io_req_pad_addr_18",111004,"Parametric","",0.5,0.9,"V",0.752899,0.752899,0.752899,0,***,***,***,0,0,0.006,412.66
"cont_row_even_col_odd_io_rsp_pad_data_24",111005,"Parametric","",0.2,0.4,"V",0.282378,0.282378,0.282378,0,***,***,***,0,0,0.006,412.66
"cont_row_even_col_odd_io_rsp_pad_bus_rd_error",111006,"Parametric","",0.2,0.4,"V",0.282639,0.282639,0.282639,0,***,***,***,0,0,0.006,412.66
"cont_row_even_col_odd_io_rsp_pad_data_20",111007,"Parametric","",0.2,0.4,"V",0.28222,0.28222,0.28222,0,***,***,***,0,0,0.007,412.66
"cont_row_even_col_odd_dft_scan_scan_out_pad_o_0",111008,"Parametric","",0.2,0.4,"V",0.28263,0.28263,0.28263,0,***,***,***,0,0,0.006,412.66
"cont_row_even_col_odd_io_rsp_pad_data_0",111009,"Parametric","",0.2,0.4,"V",0.282698,0.282698,0.282698,0,***,***,***,0,0,0.006,412.66
"cont_row_even_col_odd_io_req_pad_data_12",111010,"Parametric","",0.5,0.9,"V",0.753365,0.753365,0.753365,0,***,***,***,0,0,0.006,412.66
"cont_row_even_col_odd_io_req_pad_addr_22",111011,"Parametric","",0.5,0.9,"V",0.752973,0.752973,0.752973,0,***,***,***,0,0,0.007,412.66
"cont_row_even_col_odd_io_req_pad_data_11",111012,"Parametric","",0.5,0.9,"V",0.753365,0.753365,0.753365,0,***,***,***,0,0,0.006,412.66
"cont_row_even_col_odd_io_req_pad_addr_1",111013,"Parametric","",0.5,0.9,"V",0.753127,0.753127,0.753127,0,***,***,***,0,0,0.006,412.66
"cont_row_even_col_odd_io_req_pad_data_10",111014,"Parametric","",0.5,0.9,"V",0.753359,0.753359,0.753359,0,***,***,***,0,0,0.007,412.66
