REGISTER WIDTH,32,,,,,,
,,,,,,,
Register Address,Register Name:,Type,Default value,Register Description,Lock Bit support,DigRF Register Name:,Nominal Value
0x00,PM_BUCK_CTRL_REG,rw,0x00000000,No,,,
,,0,pm_buck_xtal_en,Active high signal to enable operating from the crystal clock,,,
,,4:1,pm_buck_tstmuxsel,Selects which test mux configuration is being used in the Buck.,,,
,,5,pm_buck_test_en,Active high signal to enable the Buck test mode.,,,
,,6,pm_buck_trim_en,Enables buck output voltage trimming,,,
,,11:7,pm_buck_trim_zcross,"5 bits trimming signal controlling the zero cross detector offset voltage.
00000      0mV
00001      1mV
00010      2mV
.....
01111      15mV
10000      0mV
10001      -1mV
10010      -2mV
10011      -3mV (0x19 = Default)
.....
11111      -15mv",,,
,,13:12,pm_buck_trim_freq,"2 bits trimming signal for the internal buck oscillator.
 00: (fosc=10.0MHz, default)
 01: (fosc=13.0MHz)
 10: (fosc=6.0MHz)
 11: (fosc=15.7MHz)",,,
,,17:14,pm_buck_trim,"  4 bits trimming signal of the buck converter output voltage
0000: Vsysnom · 90%
1000: Vsysnom  (Default)
1111: Vsysnom · 110%",,,
Register Address,Register Name:,Type,Default value,Register Description,,,
0x04,PM_LDO_CTRL_REG,rw,0x00000000,No,,,
,,0,pm_sldo_tst_en,Active high enable for pm_sldo testmode.,,,
,,2,pm_hvldo_tst_load_en,Test enable for enabling load current of 20mA in typ case for hv_ldo,,,
,,3,pm_ioldo_en,Active high enable for pm_ioldo_en,,,
,,4,pm_ioldo_tst_load_en,Test enable for enabling load current on pm_ioldo of circa 20mA in typ case.,,,
,,5,pm_ioldo_trim,"Digital trim setting to configure output voltage of pm_ioldo.

‘1’: 3V output mode

‘0’: 1.8V output mode",,,
,,6,pm_simldo_en,Active high enable for pm_simldo.,,,
,,7,pm_simldo_tst_load_en, Test enable for enabling load current on pm_simldo of circa 20mA in typ case.,,,
,,8,pm_simldo_trim,"Digital trim setting to configure output voltage of pm_simldo.

‘1’: 3V output mode

‘0’: 1.8V output mode",,,
,,9,usim_vcc_en_force_regmap,Force to use pm_simldo_en from regmap instead of Ceva driven usim_vcc_en,,,
,,10,usim_vcc_volt_force_regmap,Force to use pm_simldo_trim from regmap instead of Ceva driven usim_vcc_volt,,,
,,12,pm_scan_iddq_en,When ‘1’ connects S11VD to D11VD. This should only be used in schan chain or iddq mode,,,
Register Address,Register Name:,Type,Default value,Register Description,,,
0x08,PM_BGRBIAS_CTRL_REG,rw,0x00000000,No,,,
,,2:0,pm_bgr_trim,"Trimmng for bgr voltage
bgr_trim ----- Resitor % change
000 ----- 90%
001 ----- 95 % ( 1 LSB step)
....
100 ----- 100%
111 ----- 105%",,,
,,3,pm_bgr_tst_sel,Active high test enable signal for bgr test outputs,,,
,,4,pm_ib_4u_tst_sel,Active high test enable of 4uA test current,,,
,,5,pm_ib_20u_tst_sel,Active high test enable of 20uA test current,,,
,,6,pm_lvbias_trim_en," Active high signal to enable trimming of lvbias 4uA bias current.When ‘0’, trimming is disabled and the default (10000) trim word is selected.",,,
,,11:7,pm_trim_4u,"Current trim setting for the 4uA currents
trim_4u ----- current % change
00000 ----- 90%
00001 ----- 90.625 % ( 1 LSB step)
....
10000 ----- 100%
11111 ----- 110%",,,
Register Address,Register Name:,Type,Default value,Register Description,,,
0x0C,TST_ATB_CTRL_REG,rw,0x00000000,No,,,
,,0,tst_auxdac1_sel,"auxdac output switch select to bypass auxdac output to ATEST0 pin

when 1, connects tst_auxdac1 input to ATEST0",,,
,,1,tst_auxdac2_sel,"auxdac output switch select to bypass auxdac output to ATEST0 pin

when 1, connects tst_auxdac2 input to ATEST1",,,
,,3:2,tst_buf_en_10,"atb buffer mode enable

when tst_buf_en_10_d11vd<1:0> is is b'11 / d'3 enables buffer and biasgen for ATEST1 and ATEST0

when tst_buf_en_10_d11vd<1:0> is is b'10 / d'2 enables buffer and biasgen only for ATEST1

when tst_buf_en_10_d11vd<1:0> is is b'01 / d'1 enables buffer and biasgen only for ATEST0

when tst_buf_en_10_d11vd<1:0> is is b'00 / d'0 disables the buffer and biasgen for ATEST1 and and ATEST0",,,
,,5:4,tst_buf_en_32,"atb buffer mode enable

when tst_buf_en_32_d11vd<1:0> is is b'11 / d'3 enables buffer and biasgen for ATEST3 and ATEST2

when tst_buf_en_32_d11vd<1:0> is is b'10 / d'2 enables buffer and biasgen only for ATEST3

when tst_buf_en_32_d11vd<1:0> is is b'01 / d'1 enables buffer and biasgen only for ATEST2

when tst_buf_en_32_d11vd<1:0> is is b'00 / d'0 disables the buffer and biasgen for ATEST3 and and ATEST2",,,
,,7:6,tst_bypass_en_10," 
atb bypass mode enable

when tst_bypass_en_10_d11vd is is b'11 / d'3 enables bypass mode for ATEST1 and ATEST0

when tst_bypass_en_10_d11vd is is b'10 / d'2 enables bypass mode only for ATEST1

when tst_bypass_en_10_d11vd is is b'01 / d'1 enables bypass mode only for ATEST0

when tst_bypass_en_10_d11vd is is b'00 / d'0 disables the bypass mode for ATEST1 and and ATEST0",,,
,,9:8,tst_bypass_en_32,"atb bypass mode enable

when tst_bypass_en_32_d11vd is is b'11 / d'3 enables bypass mode for ATEST3 and ATEST2

when tst_bypass_en_32_d11vd is is b'10 / d'2 enables bypass mode only for ATEST3

when tst_bypass_en_32_d11vd is is b'01 / d'1 enables bypass mode only for ATEST2

when tst_bypass_en_32_d11vd is is b'00 / d'0 disables the bypass mode for ATEST3 and and ATEST2",,,
,,10,tst_flip_10,"When 1, Flips output on ATEST1 and ATEST0",,,
,,11,tst_flip_32,"When 1, Flips output on ATEST3 and ATEST2",,,
,,15:12,tst_pd_atb,"When tst_pd_atb<3> is 1, Pull down is active on atb_iqp1 internal bus line

When tst_pd_atb<2> is 1, Pull down is active on atb_iqp0 internal bus line

When tst_pd_atb<1> is 1, Pull down is active on atb_iqn1 internal bus line

When tst_pd_atb<0> is 1, Pull down is active on atb_iqn0 internal bus line",,,
,,19:16,tst_pd_atest,When tst_pd_atest<x> is 1 Pull down is active on ATESTx pin,,,
,,20,auxmeas_in_div_en,"Division of the ADC-input:

‘1’ divide by 3

‘0’ divide by 1

only if auxmeas_in_en_d11vd = 1.",,,
,,21,auxmeas_in_en,"Division of the ADC-input:

‘1’ divide by 3

‘0’ divide by 1

only if auxmeas_in_en_d11vd = 1.",,,
,,22,tst_buf_stg2_en,"When tst_buf_en_32_d11vd<1:0> is b'11 or b'10 or b'01,

if tst_buf_stg2_en_d11vd is 1,

stage2 of buffer is enabled as well. Used in case when the output test capacitance load is 200pF.",,,
Register Address,Register Name:,Type,Default value,Register Description,,,
0x10,TST_ATB_SEL_REG,rw,0x00000000,No,,,
,,3:0,tst_pm_sel,"when tst_pm_sel_d11vd<3:0> is b'1000 / d'8 ,tst_pm_ip = atb_iqp1

when tst_pm_sel_d11vd<3:0> is b'0100 / d'4 ,tst_pm_qp = atb_iqp0

when tst_pm_sel_d11vd<3:0> is b'0010 / d'2 ,tst_pm_in = atb_iqn1

when tst_pm_sel_d11vd<3:0> is b'0001 / d'1 ,tst_pm_qn = atb_iqn0",,,
,,7:4,tst_gnss_sel,"when tst_gnss_sel_d11vd<3:0> is b'1000 / d'8 ,tst_gnss_ip = atb_iqp1

when tst_gnss_sel_d11vd<3:0> is b'0100 / d'4 ,tst_gnss_qp = atb_iqp0

when tst_gnss_sel_d11vd<3:0> is b'0010 / d'2 ,tst_gnss_in = atb_iqn1

when tst_gnss_sel_d11vd<3:0> is b'0001 / d'1 ,tst_gnss_qn = atb_iqn0",,,
,,11:8,tst_nbiot_sel,"when tst_nbiot_sel_d11vd<3:0> is b'1000 / d'8 ,tst_nbiot_ip = atb_iqp1

when tst_nbiot_sel_d11vd<3:0> is b'0100 / d'4 ,tst_nbiot_qp = atb_iqp0

when tst_nbiot_sel_d11vd<3:0> is b'0010 / d'2 ,tst_nbiot_in = atb_iqn1

when tst_nbiot_sel_d11vd<3:0> is b'0001 / d'1 ,tst_nbiot_qn = atb_iqn0",,,
,,15:12,tst_adc_sel,"atb bus select for aux-adc input

when tst_adc_sel_d11vd<3:0> is b'1000 / d'8 ,aux_meas = atb_iqp1

when tst_adc_sel_d11vd<3:0> is b'0100 / d'4 ,aux_meas = atb_iqp0

when tst_adc_sel_d11vd<3:0> is b'0010 / d'2 ,aux_meas = atb_iqn1

when tst_adc_sel_d11vd<3:0> is b'0001 / d'1 ,aux_meas = atb_iqn0",,,
