REGISTER WIDTH,32,,,,,,
,,,,,,,
Register Address,Register Name:,Type,Default value,Lock Bit support,Register Description,DigRF Register Name:,Nominal Value
0x58,DIGITAL_DOC_POLE_TIME_1AND2_REG,rw,0x00200200,,,,
,,23:12,pole_2_time,,,,
,,11:00,pole_1_time,,,,
Register Address,Register Name:,Type,Default value,,,,
0x3B,DAC_CODE_CODE_11_REG,rw,0x00000020,,,,
,,5:00,dac_code_q_22,,,,
,,5:00,dac_code_q_23,,,,
,,5:00,dac_code_i_23,,,,
,,5:00,dac_code_i_22,,,,
Register Address,Register Name:,Type,Default value,,,,
0x46,DAC_CODE_CODE_22_REG,rw,0x00000020,,,,
,,5:00,dac_code_q_44,,,,
,,5:00,dac_code_q_45,,,,
,,5:00,dac_code_i_45,,,,
,,5:00,dac_code_i_44,,,,
Register Address,Register Name:,Type,Default value,,,,
0x11,XO_BG_XO_BG_CTRL_REG,rw,0x0000E2F7,,,,
,,12:10,IBIAS_TRIM,,,,
,,17:14,XOBIAS,,,,
,,1,ENXOPLL,,,,
,,0,EN_XO,,,,
,,9,BG_EN,,,,
,,4,ENXORX,,,,
,,2,ENXOVCTU,,,,
,,3,ENXOAUXADC,,,,
,,13,EN_XO_OSC,,,,
,,8:05,XO_BUFF,,,,
Register Address,Register Name:,Type,Default value,,,,
0x3C,DAC_CODE_CODE_12_REG,rw,0x00000020,,,,
,,5:00,dac_code_i_24,,,,
,,5:00,dac_code_q_25,,,,
,,5:00,dac_code_i_25,,,,
,,5:00,dac_code_q_24,,,,
Register Address,Register Name:,Type,Default value,,,,
0x5B,DIGITAL_TONE_AMP_REG,rw,0x0000709C,,,,
,,10:09,tone_mode,,,,
,,16,loop_back_mode,,,,
,,17,dac_sign_inv,,,,
,,8:00,tone_amp,,,,
,,11,tx_dac_data_sel,,,,
,,15:12,OUTPUTSTTH,,,,
Register Address,Register Name:,Type,Default value,,,,
0x31,DAC_CODE_CODE_1_REG,rw,0x00000020,,,,
,,5:00,dac_code_q_02,,,,
,,5:00,dac_code_i_03,,,,
,,5:00,dac_code_i_02,,,,
,,5:00,dac_code_q_03,,,,
Register Address,Register Name:,Type,Default value,,,,
0x09,TX_TX_TST_GN_REG,rw,0x0003FFFF,,,,
,,11:00,TX_UPCONV_GN_CTRL_TEST,,,,
,,17:12,TX_UPCONV_GN_CTRL_SPLY_TEST,,,,
Register Address,Register Name:,Type,Default value,,,,
0x44,DAC_CODE_CODE_20_REG,rw,0x00000020,,,,
,,5:00,dac_code_i_41,,,,
,,5:00,dac_code_q_40,,,,
,,5:00,dac_code_q_41,,,,
,,5:00,dac_code_i_40,,,,
Register Address,Register Name:,Type,Default value,,,,
0x0D,PLL_PLL_FRAC_REG,rw,0x00000000,,,,
,,19:00,PLL_FRAC_I2C,,,,
Register Address,Register Name:,Type,Default value,,,,
0x36,DAC_CODE_CODE_6_REG,rw,0x00000020,,,,
,,5:00,dac_code_i_12,,,,
,,5:00,dac_code_q_13,,,,
,,5:00,dac_code_i_13,,,,
,,5:00,dac_code_q_12,,,,
Register Address,Register Name:,Type,Default value,,,,
0x0C,PLL_PLL_INT_REG,rw,0x0000003B,,,,
,,8:01,PLL_INT_I2C,,,,
,,0,PLL_INT_MODE,,,,
Register Address,Register Name:,Type,Default value,,,,
0x12,AUXADC_AUXADC_REG,rw,0x00000000,,,,
,,0,AUXADC_EN,,,,
,,1,AUXADC_START,,,,
,,3:02,AUXADC_SEL,,,,
Register Address,Register Name:,Type,Default value,,,,
0x43,DAC_CODE_CODE_19_REG,rw,0x00000020,,,,
,,5:00,dac_code_q_39,,,,
,,5:00,dac_code_q_38,,,,
,,5:00,dac_code_i_39,,,,
,,5:00,dac_code_i_38,,,,
Register Address,Register Name:,Type,Default value,,,,
0x0F,PLL_PLL_VCO_TUNE2_REG,rw,0x00C88C3C,,,,
,,7:00,PLL_i2c_pllvco_th1,,,,
,,15:08,PLL_i2c_pllvco_th2,,,,
,,23:16,PLL_i2c_pllvco_th3,,,,
Register Address,Register Name:,Type,Default value,,,,
0x57,DIGITAL_SPI_TEST_DOC_GAIN_REG,rw,0x00000000,,,,
,,12,spi_doc_gain_test_en,,,,
,,11:00,spi_doc_gain,,,,
Register Address,Register Name:,Type,Default value,,,,
0x07,TX_TX_CAP_MSB_REG,rw,0x00000000,,,,
